CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:06:09Z,493,0,3,3,47095
faparusiy,2021-03-06T23:06:09Z,4,0,3,3,47095
grunauj,2021-03-06T23:06:09Z,9,0,3,3,47095
hagertyb,2021-03-06T23:06:09Z,1361,0,3,3,47095
henleyr,2021-03-06T23:06:09Z,15,0,3,3,47095
hilld,2021-03-06T23:06:09Z,4,0,3,3,47095
hoopers,2021-03-06T23:06:09Z,19,0,3,3,47095
jamesa,2021-03-06T23:06:09Z,2,0,3,3,47095
mcleode,2021-03-06T23:06:09Z,8,0,3,3,47095
morgank,2021-03-06T23:06:09Z,10,0,3,3,47095
stansberrye,2021-03-06T23:06:09Z,5,0,3,3,47095
