CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2020-12-16T17:51:58Z,1104,0,10,10,47111
faparusiy,2020-12-16T17:51:58Z,16,0,10,10,47111
grunauj,2020-12-16T17:51:58Z,15,0,10,10,47111
hagertyb,2020-12-16T17:51:58Z,7522,0,10,10,47111
henleyr,2020-12-16T17:51:58Z,26,0,10,10,47111
hilld,2020-12-16T17:51:58Z,13,0,10,10,47111
hoopers,2020-12-16T17:51:58Z,38,0,10,10,47111
jamesa,2020-12-16T17:51:58Z,15,0,10,10,47111
mcleode,2020-12-16T17:51:58Z,30,0,10,10,47111
morgank,2020-12-16T17:51:58Z,40,0,10,10,47111
stansberrye,2020-12-16T17:51:58Z,13,0,10,10,47111
