CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2020-12-16T17:53:15Z,2956,0,17,17,47115
faparusiy,2020-12-16T17:53:15Z,31,0,17,17,47115
grunauj,2020-12-16T17:53:15Z,19,0,17,17,47115
hagertyb,2020-12-16T17:53:15Z,9517,0,17,17,47115
henleyr,2020-12-16T17:53:15Z,65,0,17,17,47115
hilld,2020-12-16T17:53:15Z,42,0,17,17,47115
hoopers,2020-12-16T17:53:15Z,77,0,17,17,47115
jamesa,2020-12-16T17:53:15Z,6,0,17,17,47115
mcleode,2020-12-16T17:53:15Z,26,0,17,17,47115
morgank,2020-12-16T17:53:15Z,18,0,17,17,47115
stansberrye,2020-12-16T17:53:15Z,11,0,17,17,47115
