CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2021-03-06T23:04:35Z,810,0,10,10,47169
faparusiy,2021-03-06T23:04:35Z,9,0,10,10,47169
grunauj,2021-03-06T23:04:35Z,5,0,10,10,47169
hagertyb,2021-03-06T23:04:35Z,2741,0,10,10,47169
henleyr,2021-03-06T23:04:35Z,17,0,10,10,47169
hilld,2021-03-06T23:04:35Z,8,0,10,10,47169
hoopers,2021-03-06T23:04:35Z,17,0,10,10,47169
jamesa,2021-03-06T23:04:35Z,8,0,10,10,47169
mcleode,2021-03-06T23:04:35Z,13,0,10,10,47169
morgank,2021-03-06T23:04:35Z,8,0,10,10,47169
stansberrye,2021-03-06T23:04:35Z,5,0,10,10,47169
