CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bradshawm,2020-12-16T18:33:07Z,20059,0,18,18,47189
faparusiy,2020-12-16T18:33:07Z,230,0,18,18,47189
grunauj,2020-12-16T18:33:07Z,93,0,18,18,47189
hagertyb,2020-12-16T18:33:07Z,50597,0,18,18,47189
henleyr,2020-12-16T18:33:07Z,211,0,18,18,47189
hilld,2020-12-16T18:33:07Z,109,0,18,18,47189
hoopers,2020-12-16T18:33:07Z,323,0,18,18,47189
jamesa,2020-12-16T18:33:07Z,315,0,18,18,47189
mcleode,2020-12-16T18:33:07Z,454,0,18,18,47189
morgank,2020-12-16T18:33:07Z,308,0,18,18,47189
stansberrye,2020-12-16T18:33:07Z,166,0,18,18,47189
