CANDIDATE,Timestamp,VOTE_SHARES,VOTES
kelseyb,2020-11-04T09:51:24Z,0,0
oliverj,2020-11-04T09:51:24Z,0,0
williamsr,2020-11-04T09:51:24Z,0,0
kelseyb,2020-11-04T01:22:53Z,0.021,3005
oliverj,2020-11-04T01:22:53Z,0.317,3005
williamsr,2020-11-04T01:22:53Z,0.662,3005
kelseyb,2020-11-04T01:25:02Z,0.024,22047
oliverj,2020-11-04T01:25:02Z,0.317,22047
williamsr,2020-11-04T01:25:02Z,0.659,22047
kelseyb,2020-11-04T01:32:04Z,0.024,31513
oliverj,2020-11-04T01:32:04Z,0.432,31513
williamsr,2020-11-04T01:32:04Z,0.544,31513
kelseyb,2020-11-04T01:39:09Z,0.022,64596
oliverj,2020-11-04T01:39:09Z,0.426,64596
williamsr,2020-11-04T01:39:09Z,0.553,64596
kelseyb,2020-11-04T01:41:00Z,0.022,64606
oliverj,2020-11-04T01:41:00Z,0.426,64606
williamsr,2020-11-04T01:41:00Z,0.553,64606
kelseyb,2020-11-04T01:42:06Z,0.019,224742
oliverj,2020-11-04T01:42:06Z,0.566,224742
williamsr,2020-11-04T01:42:06Z,0.415,224742
kelseyb,2020-11-04T01:55:19Z,0.018,284877
oliverj,2020-11-04T01:55:19Z,0.493,284877
williamsr,2020-11-04T01:55:19Z,0.489,284877
kelseyb,2020-11-04T02:12:41Z,0.018,290991
oliverj,2020-11-04T02:12:41Z,0.486,290991
williamsr,2020-11-04T02:12:41Z,0.496,290991
kelseyb,2020-11-04T02:33:56Z,0.018,291614
oliverj,2020-11-04T02:33:56Z,0.486,291614
williamsr,2020-11-04T02:33:56Z,0.497,291614
kelseyb,2020-11-04T03:07:46Z,0.018,296348
oliverj,2020-11-04T03:07:46Z,0.482,296348
williamsr,2020-11-04T03:07:46Z,0.5,296348
kelseyb,2020-11-04T03:11:11Z,0.018,305848
oliverj,2020-11-04T03:11:11Z,0.473,305848
williamsr,2020-11-04T03:11:11Z,0.509,305848
kelseyb,2020-11-04T03:18:07Z,0.018,326270
oliverj,2020-11-04T03:18:07Z,0.457,326270
williamsr,2020-11-04T03:18:07Z,0.525,326270
kelseyb,2020-11-04T03:24:42Z,0.018,331181
oliverj,2020-11-04T03:24:42Z,0.453,331181
williamsr,2020-11-04T03:24:42Z,0.529,331181
kelseyb,2020-11-04T03:33:42Z,0.018,337627
oliverj,2020-11-04T03:33:42Z,0.447,337627
williamsr,2020-11-04T03:33:42Z,0.535,337627
kelseyb,2020-11-04T03:45:18Z,0.018,348158
oliverj,2020-11-04T03:45:18Z,0.44,348158
williamsr,2020-11-04T03:45:18Z,0.543,348158
kelseyb,2020-11-04T03:47:41Z,0.018,348392
oliverj,2020-11-04T03:47:41Z,0.439,348392
williamsr,2020-11-04T03:47:41Z,0.543,348392
kelseyb,2020-11-04T03:53:17Z,0.018,348535
oliverj,2020-11-04T03:53:17Z,0.439,348535
williamsr,2020-11-04T03:53:17Z,0.543,348535
kelseyb,2020-11-04T04:00:06Z,0.018,348594
oliverj,2020-11-04T04:00:06Z,0.439,348594
williamsr,2020-11-04T04:00:06Z,0.543,348594
kelseyb,2020-11-04T04:05:53Z,0.018,352349
oliverj,2020-11-04T04:05:53Z,0.436,352349
williamsr,2020-11-04T04:05:53Z,0.546,352349
kelseyb,2020-11-04T04:16:11Z,0.018,352707
oliverj,2020-11-04T04:16:11Z,0.436,352707
williamsr,2020-11-04T04:16:11Z,0.546,352707
kelseyb,2020-11-04T04:20:02Z,0.018,353052
oliverj,2020-11-04T04:20:02Z,0.436,353052
williamsr,2020-11-04T04:20:02Z,0.546,353052
kelseyb,2020-11-04T04:25:22Z,0.018,353072
oliverj,2020-11-04T04:25:22Z,0.436,353072
williamsr,2020-11-04T04:25:22Z,0.546,353072
kelseyb,2020-11-04T04:30:42Z,0.018,355547
oliverj,2020-11-04T04:30:42Z,0.434,355547
williamsr,2020-11-04T04:30:42Z,0.547,355547
kelseyb,2020-11-04T04:33:31Z,0.018,355654
oliverj,2020-11-04T04:33:31Z,0.434,355654
williamsr,2020-11-04T04:33:31Z,0.547,355654
kelseyb,2020-11-04T04:36:01Z,0.018,360208
oliverj,2020-11-04T04:36:01Z,0.431,360208
williamsr,2020-11-04T04:36:01Z,0.551,360208
kelseyb,2020-11-04T04:38:40Z,0.018,360667
oliverj,2020-11-04T04:38:40Z,0.431,360667
williamsr,2020-11-04T04:38:40Z,0.551,360667
kelseyb,2020-11-04T04:45:25Z,0.018,360922
oliverj,2020-11-04T04:45:25Z,0.43,360922
williamsr,2020-11-04T04:45:25Z,0.551,360922
kelseyb,2020-11-04T04:49:21Z,0.018,361350
oliverj,2020-11-04T04:49:21Z,0.43,361350
williamsr,2020-11-04T04:49:21Z,0.551,361350
kelseyb,2020-11-04T05:10:38Z,0.018,362814
oliverj,2020-11-04T05:10:38Z,0.429,362814
williamsr,2020-11-04T05:10:38Z,0.552,362814
kelseyb,2020-11-04T05:15:46Z,0.018,367937
oliverj,2020-11-04T05:15:46Z,0.425,367937
williamsr,2020-11-04T05:15:46Z,0.556,367937
kelseyb,2020-11-04T05:24:15Z,0.018,368093
oliverj,2020-11-04T05:24:15Z,0.425,368093
williamsr,2020-11-04T05:24:15Z,0.556,368093
kelseyb,2020-11-04T05:28:43Z,0.019,370338
oliverj,2020-11-04T05:28:43Z,0.426,370338
williamsr,2020-11-04T05:28:43Z,0.555,370338
kelseyb,2020-11-04T06:00:12Z,0.019,382323
oliverj,2020-11-04T06:00:12Z,0.426,382323
