CANDIDATE,Timestamp,VOTE_SHARES,VOTES
bidenj,2020-11-04T10:00:04Z,0,0
trumpd,2020-11-04T10:00:04Z,0,0
bidenj,2020-11-04T00:34:55Z,0.857,7
trumpd,2020-11-04T00:34:55Z,0.143,7
bidenj,2020-11-04T00:41:07Z,0,0
trumpd,2020-11-04T00:41:07Z,0,0
bidenj,2020-11-04T00:45:12Z,0.364,11
trumpd,2020-11-04T00:45:12Z,0.636,11
bidenj,2020-11-04T00:53:56Z,0,0
trumpd,2020-11-04T00:53:56Z,0,0
bidenj,2020-11-04T01:01:47Z,0.456,382980
trumpd,2020-11-04T01:01:47Z,0.529,382980
bidenj,2020-11-04T01:02:14Z,0.594,1180385
trumpd,2020-11-04T01:02:14Z,0.393,1180385
bidenj,2020-11-04T01:03:35Z,0.587,1208318
trumpd,2020-11-04T01:03:35Z,0.4,1208318
bidenj,2020-11-04T01:06:42Z,0.585,1212484
trumpd,2020-11-04T01:06:42Z,0.401,1212484
bidenj,2020-11-04T01:06:55Z,0.583,1218197
trumpd,2020-11-04T01:06:55Z,0.403,1218197
bidenj,2020-11-04T01:10:38Z,0.571,2625107
trumpd,2020-11-04T01:10:38Z,0.416,2625107
bidenj,2020-11-04T01:12:05Z,0.565,2883632
trumpd,2020-11-04T01:12:05Z,0.421,2883632
bidenj,2020-11-04T01:12:41Z,0.564,2897293
trumpd,2020-11-04T01:12:41Z,0.423,2897293
bidenj,2020-11-04T01:13:12Z,0.561,2983271
trumpd,2020-11-04T01:13:12Z,0.426,2983271
bidenj,2020-11-04T01:15:03Z,0.555,3039380
trumpd,2020-11-04T01:15:03Z,0.432,3039380
bidenj,2020-11-04T01:15:28Z,0.553,3047422
trumpd,2020-11-04T01:15:28Z,0.433,3047422
bidenj,2020-11-04T01:15:55Z,0.553,3047423
trumpd,2020-11-04T01:15:55Z,0.433,3047423
bidenj,2020-11-04T01:16:18Z,0.552,3059967
trumpd,2020-11-04T01:16:18Z,0.435,3059967
bidenj,2020-11-04T01:16:35Z,0.541,3758725
trumpd,2020-11-04T01:16:35Z,0.446,3758725
bidenj,2020-11-04T01:16:58Z,0.54,3763956
trumpd,2020-11-04T01:16:58Z,0.447,3763956
bidenj,2020-11-04T01:19:07Z,0.539,3780651
trumpd,2020-11-04T01:19:07Z,0.448,3780651
bidenj,2020-11-04T01:21:02Z,0.535,3855456
trumpd,2020-11-04T01:21:02Z,0.452,3855456
bidenj,2020-11-04T01:21:41Z,0.532,3882817
trumpd,2020-11-04T01:21:41Z,0.455,3882817
bidenj,2020-11-04T01:22:12Z,0.526,3958489
trumpd,2020-11-04T01:22:12Z,0.46,3958489
bidenj,2020-11-04T01:23:14Z,0.526,3962378
trumpd,2020-11-04T01:23:14Z,0.461,3962378
bidenj,2020-11-04T01:24:45Z,0.526,3969258
trumpd,2020-11-04T01:24:45Z,0.46,3969258
bidenj,2020-11-04T01:24:53Z,0.523,4067816
trumpd,2020-11-04T01:24:53Z,0.464,4067816
bidenj,2020-11-04T01:25:29Z,0.518,4172472
trumpd,2020-11-04T01:25:29Z,0.468,4172472
bidenj,2020-11-04T01:26:10Z,0.512,4285497
trumpd,2020-11-04T01:26:10Z,0.475,4285497
bidenj,2020-11-04T01:28:27Z,0.522,4959515
trumpd,2020-11-04T01:28:27Z,0.464,4959515
bidenj,2020-11-04T01:29:14Z,0.518,5086347
trumpd,2020-11-04T01:29:14Z,0.468,5086347
bidenj,2020-11-04T01:30:57Z,0.517,5189426
trumpd,2020-11-04T01:30:57Z,0.469,5189426
bidenj,2020-11-04T01:31:46Z,0.516,5219107
trumpd,2020-11-04T01:31:46Z,0.47,5219107
bidenj,2020-11-04T01:32:04Z,0.514,5285892
trumpd,2020-11-04T01:32:04Z,0.473,5285892
bidenj,2020-11-04T01:32:37Z,0.504,5498636
trumpd,2020-11-04T01:32:37Z,0.483,5498636
bidenj,2020-11-04T01:33:04Z,0.504,5498744
trumpd,2020-11-04T01:33:04Z,0.483,5498744
bidenj,2020-11-04T01:33:59Z,0.505,5584824
trumpd,2020-11-04T01:33:59Z,0.482,5584824
bidenj,2020-11-04T01:34:57Z,0.501,5650142
trumpd,2020-11-04T01:34:57Z,0.486,5650142
bidenj,2020-11-04T01:35:54Z,0.499,6094828
trumpd,2020-11-04T01:35:54Z,0.488,6094828
bidenj,2020-11-04T01:37:15Z,0.496,6154990
trumpd,2020-11-04T01:37:15Z,0.49,6154990
bidenj,2020-11-04T01:38:03Z,0.495,6414735
trumpd,2020-11-04T01:38:03Z,0.492,6414735
bidenj,2020-11-04T01:39:12Z,0.494,6433809
trumpd,2020-11-04T01:39:12Z,0.493,6433809
bidenj,2020-11-04T01:42:07Z,0.51,7149835
trumpd,2020-11-04T01:42:07Z,0.476,7149835
bidenj,2020-11-04T01:42:46Z,0.509,7175487
trumpd,2020-11-04T01:42:46Z,0.478,7175487
bidenj,2020-11-04T01:42:55Z,0.508,7175598
trumpd,2020-11-04T01:42:55Z,0.478,7175598
bidenj,2020-11-04T01:43:11Z,0.508,7175638
trumpd,2020-11-04T01:43:11Z,0.478,7175638
bidenj,2020-11-04T01:44:14Z,0.508,7195112
trumpd,2020-11-04T01:44:14Z,0.478,7195112
bidenj,2020-11-04T01:47:05Z,0.506,7244103
trumpd,2020-11-04T01:47:05Z,0.48,7244103
bidenj,2020-11-04T01:49:06Z,0.506,7244113
trumpd,2020-11-04T01:49:06Z,0.48,7244113
bidenj,2020-11-04T01:50:28Z,0.505,7292420
trumpd,2020-11-04T01:50:28Z,0.481,7292420
bidenj,2020-11-04T01:51:46Z,0.505,7317366
trumpd,2020-11-04T01:51:46Z,0.481,7317366
bidenj,2020-11-04T01:52:29Z,0.5,7464928
trumpd,2020-11-04T01:52:29Z,0.486,7464928
bidenj,2020-11-04T01:53:07Z,0.5,7464975
trumpd,2020-11-04T01:53:07Z,0.486,7464975
bidenj,2020-11-04T01:55:15Z,0.5,7496354
trumpd,2020-11-04T01:55:15Z,0.486,7496354
bidenj,2020-11-04T01:55:57Z,0.5,7497940
trumpd,2020-11-04T01:55:57Z,0.486,7497940
bidenj,2020-11-04T01:56:31Z,0.499,7517639
trumpd,2020-11-04T01:56:31Z,0.487,7517639
bidenj,2020-11-04T01:57:04Z,0.499,7526283
trumpd,2020-11-04T01:57:04Z,0.488,7526283
bidenj,2020-11-04T02:00:12Z,0.498,7528967
trumpd,2020-11-04T02:00:12Z,0.487,7528967
bidenj,2020-11-04T02:01:23Z,0.496,7584270
trumpd,2020-11-04T02:01:23Z,0.489,7584270
bidenj,2020-11-04T02:03:12Z,0.496,7584292
trumpd,2020-11-04T02:03:12Z,0.489,7584292
bidenj,2020-11-04T02:06:31Z,0.496,7584968
trumpd,2020-11-04T02:06:31Z,0.489,7584968
bidenj,2020-11-04T02:06:51Z,0.496,7585274
trumpd,2020-11-04T02:06:51Z,0.489,7585274
bidenj,2020-11-04T02:07:39Z,0.496,7603534
trumpd,2020-11-04T02:07:39Z,0.49,7603534
bidenj,2020-11-04T02:09:11Z,0.496,7603536
trumpd,2020-11-04T02:09:11Z,0.49,7603536
bidenj,2020-11-04T02:10:51Z,0.496,7603943
trumpd,2020-11-04T02:10:51Z,0.49,7603943
bidenj,2020-11-04T02:12:03Z,0.495,7606454
trumpd,2020-11-04T02:12:03Z,0.49,7606454
bidenj,2020-11-04T02:12:42Z,0.494,7708266
trumpd,2020-11-04T02:12:42Z,0.492,7708266
bidenj,2020-11-04T02:13:10Z,0.493,7729789
