CANDIDATE,Timestamp,VOTE_SHARES,VOTES
cottamd,2020-11-04T10:01:44Z,0,0
coxs,2020-11-04T10:01:44Z,0,0
duerdeng,2020-11-04T10:01:44Z,0,0
petersonc,2020-11-04T10:01:44Z,0,0
write-ins,2020-11-04T10:01:44Z,0,0
cottamd,2020-11-04T03:08:27Z,0.023,335446
coxs,2020-11-04T03:08:27Z,0.506,335446
duerdeng,2020-11-04T03:08:27Z,0.009,335446
petersonc,2020-11-04T03:08:27Z,0.462,335446
write-ins,2020-11-04T03:08:27Z,0,335446
cottamd,2020-11-04T03:09:49Z,0.023,336262
coxs,2020-11-04T03:09:49Z,0.506,336262
duerdeng,2020-11-04T03:09:49Z,0.009,336262
petersonc,2020-11-04T03:09:49Z,0.461,336262
write-ins,2020-11-04T03:09:49Z,0,336262
cottamd,2020-11-04T03:11:12Z,0.024,362355
coxs,2020-11-04T03:11:12Z,0.52,362355
duerdeng,2020-11-04T03:11:12Z,0.01,362355
petersonc,2020-11-04T03:11:12Z,0.446,362355
write-ins,2020-11-04T03:11:12Z,0,362355
cottamd,2020-11-04T03:13:20Z,0.026,546594
coxs,2020-11-04T03:13:20Z,0.592,546594
duerdeng,2020-11-04T03:13:20Z,0.012,546594
petersonc,2020-11-04T03:13:20Z,0.364,546594
write-ins,2020-11-04T03:13:20Z,0.007,546594
cottamd,2020-11-04T03:13:54Z,0.028,618448
coxs,2020-11-04T03:13:54Z,0.607,618448
duerdeng,2020-11-04T03:13:54Z,0.013,618448
petersonc,2020-11-04T03:13:54Z,0.345,618448
write-ins,2020-11-04T03:13:54Z,0.006,618448
cottamd,2020-11-04T03:16:35Z,0.028,618519
coxs,2020-11-04T03:16:35Z,0.607,618519
duerdeng,2020-11-04T03:16:35Z,0.013,618519
petersonc,2020-11-04T03:16:35Z,0.345,618519
write-ins,2020-11-04T03:16:35Z,0.006,618519
cottamd,2020-11-04T03:17:27Z,0.028,686394
coxs,2020-11-04T03:17:27Z,0.608,686394
duerdeng,2020-11-04T03:17:27Z,0.013,686394
petersonc,2020-11-04T03:17:27Z,0.345,686394
write-ins,2020-11-04T03:17:27Z,0.005,686394
cottamd,2020-11-04T03:18:51Z,0.028,689429
coxs,2020-11-04T03:18:51Z,0.605,689429
duerdeng,2020-11-04T03:18:51Z,0.013,689429
petersonc,2020-11-04T03:18:51Z,0.343,689429
write-ins,2020-11-04T03:18:51Z,0.01,689429
cottamd,2020-11-04T03:20:44Z,0.029,825475
coxs,2020-11-04T03:20:44Z,0.619,825475
duerdeng,2020-11-04T03:20:44Z,0.015,825475
petersonc,2020-11-04T03:20:44Z,0.329,825475
write-ins,2020-11-04T03:20:44Z,0.008,825475
cottamd,2020-11-04T03:25:59Z,0.029,832373
coxs,2020-11-04T03:25:59Z,0.621,832373
duerdeng,2020-11-04T03:25:59Z,0.015,832373
petersonc,2020-11-04T03:25:59Z,0.327,832373
write-ins,2020-11-04T03:25:59Z,0.008,832373
cottamd,2020-11-04T03:29:00Z,0.029,832892
coxs,2020-11-04T03:29:00Z,0.621,832892
duerdeng,2020-11-04T03:29:00Z,0.015,832892
petersonc,2020-11-04T03:29:00Z,0.327,832892
write-ins,2020-11-04T03:29:00Z,0.009,832892
cottamd,2020-11-04T03:30:12Z,0.029,835732
coxs,2020-11-04T03:30:12Z,0.621,835732
duerdeng,2020-11-04T03:30:12Z,0.015,835732
petersonc,2020-11-04T03:30:12Z,0.326,835732
write-ins,2020-11-04T03:30:12Z,0.009,835732
cottamd,2020-11-04T03:34:42Z,0.029,839039
coxs,2020-11-04T03:34:42Z,0.619,839039
duerdeng,2020-11-04T03:34:42Z,0.015,839039
petersonc,2020-11-04T03:34:42Z,0.325,839039
write-ins,2020-11-04T03:34:42Z,0.013,839039
cottamd,2020-11-04T03:38:30Z,0.029,866317
coxs,2020-11-04T03:38:30Z,0.625,866317
duerdeng,2020-11-04T03:38:30Z,0.015,866317
petersonc,2020-11-04T03:38:30Z,0.319,866317
write-ins,2020-11-04T03:38:30Z,0.012,866317
cottamd,2020-11-04T03:42:27Z,0.029,867181
coxs,2020-11-04T03:42:27Z,0.624,867181
duerdeng,2020-11-04T03:42:27Z,0.015,867181
petersonc,2020-11-04T03:42:27Z,0.319,867181
write-ins,2020-11-04T03:42:27Z,0.013,867181
cottamd,2020-11-04T03:45:19Z,0.029,867487
coxs,2020-11-04T03:45:19Z,0.624,867487
duerdeng,2020-11-04T03:45:19Z,0.015,867487
petersonc,2020-11-04T03:45:19Z,0.319,867487
write-ins,2020-11-04T03:45:19Z,0.013,867487
cottamd,2020-11-04T03:53:17Z,0.028,885879
coxs,2020-11-04T03:53:17Z,0.62,885879
duerdeng,2020-11-04T03:53:17Z,0.015,885879
petersonc,2020-11-04T03:53:17Z,0.324,885879
write-ins,2020-11-04T03:53:17Z,0.013,885879
cottamd,2020-11-04T03:56:22Z,0.028,891385
coxs,2020-11-04T03:56:22Z,0.621,891385
duerdeng,2020-11-04T03:56:22Z,0.015,891385
petersonc,2020-11-04T03:56:22Z,0.322,891385
write-ins,2020-11-04T03:56:22Z,0.013,891385
cottamd,2020-11-04T04:00:19Z,0.028,897682
coxs,2020-11-04T04:00:19Z,0.622,897682
duerdeng,2020-11-04T04:00:19Z,0.015,897682
petersonc,2020-11-04T04:00:19Z,0.321,897682
write-ins,2020-11-04T04:00:19Z,0.013,897682
cottamd,2020-11-04T04:20:56Z,0.028,901965
coxs,2020-11-04T04:20:56Z,0.623,901965
duerdeng,2020-11-04T04:20:56Z,0.015,901965
petersonc,2020-11-04T04:20:56Z,0.32,901965
write-ins,2020-11-04T04:20:56Z,0.013,901965
cottamd,2020-11-04T04:21:47Z,0.028,902985
coxs,2020-11-04T04:21:47Z,0.623,902985
duerdeng,2020-11-04T04:21:47Z,0.015,902985
petersonc,2020-11-04T04:21:47Z,0.32,902985
write-ins,2020-11-04T04:21:47Z,0.013,902985
cottamd,2020-11-04T04:27:23Z,0.028,904233
coxs,2020-11-04T04:27:23Z,0.623,904233
duerdeng,2020-11-04T04:27:23Z,0.015,904233
petersonc,2020-11-04T04:27:23Z,0.32,904233
write-ins,2020-11-04T04:27:23Z,0.013,904233
cottamd,2020-11-04T04:35:18Z,0.028,905144
coxs,2020-11-04T04:35:18Z,0.623,905144
duerdeng,2020-11-04T04:35:18Z,0.015,905144
petersonc,2020-11-04T04:35:18Z,0.32,905144
write-ins,2020-11-04T04:35:18Z,0.014,905144
cottamd,2020-11-04T04:35:34Z,0.028,907072
coxs,2020-11-04T04:35:34Z,0.621,907072
duerdeng,2020-11-04T04:35:34Z,0.015,907072
petersonc,2020-11-04T04:35:34Z,0.319,907072
write-ins,2020-11-04T04:35:34Z,0.016,907072
cottamd,2020-11-04T04:40:17Z,0.028,917219
coxs,2020-11-04T04:40:17Z,0.624,917219
duerdeng,2020-11-04T04:40:17Z,0.015,917219
petersonc,2020-11-04T04:40:17Z,0.316,917219
write-ins,2020-11-04T04:40:17Z,0.016,917219
cottamd,2020-11-04T04:44:41Z,0.028,918040
coxs,2020-11-04T04:44:41Z,0.624,918040
duerdeng,2020-11-04T04:44:41Z,0.015,918040
petersonc,2020-11-04T04:44:41Z,0.316,918040
write-ins,2020-11-04T04:44:41Z,0.016,918040
cottamd,2020-11-04T04:47:09Z,0.028,918156
coxs,2020-11-04T04:47:09Z,0.624,918156
duerdeng,2020-11-04T04:47:09Z,0.015,918156
petersonc,2020-11-04T04:47:09Z,0.316,918156
write-ins,2020-11-04T04:47:09Z,0.016,918156
cottamd,2020-11-04T04:51:43Z,0.028,918247
coxs,2020-11-04T04:51:43Z,0.624,918247
duerdeng,2020-11-04T04:51:43Z,0.015,918247
petersonc,2020-11-04T04:51:43Z,0.316,918247
write-ins,2020-11-04T04:51:43Z,0.016,918247
cottamd,2020-11-04T05:00:56Z,0.028,918661
coxs,2020-11-04T05:00:56Z,0.624,918661
duerdeng,2020-11-04T05:00:56Z,0.015,918661
petersonc,2020-11-04T05:00:56Z,0.316,918661
write-ins,2020-11-04T05:00:56Z,0.017,918661
cottamd,2020-11-04T05:01:28Z,0.028,918914
coxs,2020-11-04T05:01:28Z,0.624,918914
duerdeng,2020-11-04T05:01:28Z,0.015,918914
petersonc,2020-11-04T05:01:28Z,0.316,918914
write-ins,2020-11-04T05:01:28Z,0.017,918914
cottamd,2020-11-04T05:02:39Z,0.029,922037
coxs,2020-11-04T05:02:39Z,0.624,922037
duerdeng,2020-11-04T05:02:39Z,0.015,922037
petersonc,2020-11-04T05:02:39Z,0.315,922037
write-ins,2020-11-04T05:02:39Z,0.017,922037
cottamd,2020-11-04T05:04:30Z,0.029,939737
coxs,2020-11-04T05:04:30Z,0.627,939737
duerdeng,2020-11-04T05:04:30Z,0.016,939737
petersonc,2020-11-04T05:04:30Z,0.312,939737
write-ins,2020-11-04T05:04:30Z,0.016,939737
cottamd,2020-11-04T05:15:18Z,0.029,940109
coxs,2020-11-04T05:15:18Z,0.627,940109
duerdeng,2020-11-04T05:15:18Z,0.016,940109
petersonc,2020-11-04T05:15:18Z,0.312,940109
write-ins,2020-11-04T05:15:18Z,0.017,940109
cottamd,2020-11-04T05:18:58Z,0.029,958348
coxs,2020-11-04T05:18:58Z,0.629,958348
duerdeng,2020-11-04T05:18:58Z,0.016,958348
petersonc,2020-11-04T05:18:58Z,0.309,958348
write-ins,2020-11-04T05:18:58Z,0.016,958348
cottamd,2020-11-04T05:19:19Z,0.029,963361
coxs,2020-11-04T05:19:19Z,0.633,963361
duerdeng,2020-11-04T05:19:19Z,0.016,963361
