CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:26:58Z,2392,0,20,20,49007
blankenshipd,2020-11-24T13:26:58Z,22,0,20,20,49007
hawkinsh,2020-11-24T13:26:58Z,18,0,20,20,49007
jorgensenj,2020-11-24T13:26:58Z,151,0,20,20,49007
la_rivag,2020-11-24T13:26:58Z,5,0,20,20,49007
mchughj,2020-11-24T13:26:58Z,19,0,20,20,49007
pierceb,2020-11-24T13:26:58Z,25,0,20,20,49007
trumpd,2020-11-24T13:26:58Z,6693,0,20,20,49007
westk,2020-11-24T13:26:58Z,44,0,20,20,49007
write-ins,2020-11-24T13:26:58Z,0,0,20,20,49007
