CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T21:44:30Z,3113,0,23,23,49037
blankenshipd,2020-11-24T21:44:30Z,28,0,23,23,49037
hawkinsh,2020-11-24T21:44:30Z,17,0,23,23,49037
jorgensenj,2020-11-24T21:44:30Z,99,0,23,23,49037
la_rivag,2020-11-24T21:44:30Z,5,0,23,23,49037
mchughj,2020-11-24T21:44:30Z,19,0,23,23,49037
pierceb,2020-11-24T21:44:30Z,16,0,23,23,49037
trumpd,2020-11-24T21:44:30Z,3535,0,23,23,49037
westk,2020-11-24T21:44:30Z,45,0,23,23,49037
write-ins,2020-11-24T21:44:30Z,1,0,23,23,49037
