CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T21:45:22Z,15244,0,50,50,49043
blankenshipd,2020-11-24T21:45:22Z,25,0,50,50,49043
hawkinsh,2020-11-24T21:45:22Z,65,0,50,50,49043
jorgensenj,2020-11-24T21:45:22Z,367,0,50,50,49043
la_rivag,2020-11-24T21:45:22Z,12,0,50,50,49043
mchughj,2020-11-24T21:45:22Z,18,0,50,50,49043
pierceb,2020-11-24T21:45:22Z,17,0,50,50,49043
trumpd,2020-11-24T21:45:22Z,10252,0,50,50,49043
westk,2020-11-24T21:45:22Z,86,0,50,50,49043
write-ins,2020-11-24T21:45:22Z,2,0,50,50,49043
