CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T21:47:38Z,6187,0,38,38,49051
blankenshipd,2020-11-24T21:47:38Z,53,0,38,38,49051
hawkinsh,2020-11-24T21:47:38Z,45,0,38,38,49051
jorgensenj,2020-11-24T21:47:38Z,352,0,38,38,49051
la_rivag,2020-11-24T21:47:38Z,7,0,38,38,49051
mchughj,2020-11-24T21:47:38Z,34,0,38,38,49051
pierceb,2020-11-24T21:47:38Z,20,0,38,38,49051
trumpd,2020-11-24T21:47:38Z,10795,0,38,38,49051
westk,2020-11-24T21:47:38Z,86,0,38,38,49051
write-ins,2020-11-24T21:47:38Z,2,0,38,38,49051
