CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T21:48:03Z,20530,18332,113,113,49053
blankenshipd,2020-11-24T21:48:03Z,220,185,113,113,49053
hawkinsh,2020-11-24T21:48:03Z,187,143,113,113,49053
jorgensenj,2020-11-24T21:48:03Z,1742,1248,113,113,49053
la_rivag,2020-11-24T21:48:03Z,33,27,113,113,49053
mchughj,2020-11-24T21:48:03Z,72,61,113,113,49053
pierceb,2020-11-24T21:48:03Z,81,71,113,113,49053
trumpd,2020-11-24T21:48:03Z,67294,55654,113,113,49053
westk,2020-11-24T21:48:03Z,298,228,113,113,49053
write-ins,2020-11-24T21:48:03Z,19,0,113,113,49053
