CANDIDATE,Timestamp,VOTE_SHARES,VOTES
billado_w,2020-11-04T08:04:41Z,0,0
devostm,2020-11-04T08:04:41Z,0,0
dickersonc,2020-11-04T08:04:41Z,0,0
hoytk,2020-11-04T08:04:41Z,0,0
peytone,2020-11-04T08:04:41Z,0,0
scottp,2020-11-04T08:04:41Z,0,0
whitneye,2020-11-04T08:04:41Z,0,0
write-ins,2020-11-04T08:04:41Z,0,0
zuckermand,2020-11-04T08:04:41Z,0,0
billado_w,2020-11-04T00:17:08Z,0.012,2459
devostm,2020-11-04T00:17:08Z,0.004,2459
dickersonc,2020-11-04T00:17:08Z,0.002,2459
hoytk,2020-11-04T00:17:08Z,0.01,2459
peytone,2020-11-04T00:17:08Z,0.009,2459
scottp,2020-11-04T00:17:08Z,0.749,2459
whitneye,2020-11-04T00:17:08Z,0.003,2459
write-ins,2020-11-04T00:17:08Z,0,2459
zuckermand,2020-11-04T00:17:08Z,0.211,2459
billado_w,2020-11-04T00:35:08Z,0.005,9332
devostm,2020-11-04T00:35:08Z,0.004,9332
dickersonc,2020-11-04T00:35:08Z,0.003,9332
hoytk,2020-11-04T00:35:08Z,0.011,9332
peytone,2020-11-04T00:35:08Z,0.01,9332
scottp,2020-11-04T00:35:08Z,0.713,9332
whitneye,2020-11-04T00:35:08Z,0.004,9332
write-ins,2020-11-04T00:35:08Z,0.003,9332
zuckermand,2020-11-04T00:35:08Z,0.248,9332
billado_w,2020-11-04T00:45:09Z,0.004,15373
devostm,2020-11-04T00:45:09Z,0.004,15373
dickersonc,2020-11-04T00:45:09Z,0.003,15373
hoytk,2020-11-04T00:45:09Z,0.021,15373
peytone,2020-11-04T00:45:09Z,0.011,15373
scottp,2020-11-04T00:45:09Z,0.686,15373
whitneye,2020-11-04T00:45:09Z,0.007,15373
write-ins,2020-11-04T00:45:09Z,0.004,15373
zuckermand,2020-11-04T00:45:09Z,0.26,15373
billado_w,2020-11-04T00:55:05Z,0.004,23160
devostm,2020-11-04T00:55:05Z,0.003,23160
dickersonc,2020-11-04T00:55:05Z,0.003,23160
hoytk,2020-11-04T00:55:05Z,0.018,23160
peytone,2020-11-04T00:55:05Z,0.01,23160
scottp,2020-11-04T00:55:05Z,0.7,23160
whitneye,2020-11-04T00:55:05Z,0.006,23160
write-ins,2020-11-04T00:55:05Z,0.004,23160
zuckermand,2020-11-04T00:55:05Z,0.252,23160
billado_w,2020-11-04T01:05:06Z,0.004,42143
devostm,2020-11-04T01:05:06Z,0.003,42143
dickersonc,2020-11-04T01:05:06Z,0.003,42143
hoytk,2020-11-04T01:05:06Z,0.014,42143
peytone,2020-11-04T01:05:06Z,0.01,42143
scottp,2020-11-04T01:05:06Z,0.684,42143
whitneye,2020-11-04T01:05:06Z,0.005,42143
write-ins,2020-11-04T01:05:06Z,0.005,42143
zuckermand,2020-11-04T01:05:06Z,0.273,42143
billado_w,2020-11-04T01:15:09Z,0.003,66088
devostm,2020-11-04T01:15:09Z,0.003,66088
dickersonc,2020-11-04T01:15:09Z,0.003,66088
