CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:23:48Z,13611,0,16,16,50011
blankenshipd,2020-11-24T13:23:48Z,16,0,16,16,50011
carrollb,2020-11-24T13:23:48Z,24,0,16,16,50011
collinsp,2020-11-24T13:23:48Z,11,0,16,16,50011
de_la_fuenter,2020-11-24T13:23:48Z,2,0,16,16,50011
duncanr,2020-11-24T13:23:48Z,20,0,16,16,50011
hawkinsh,2020-11-24T13:23:48Z,59,0,16,16,50011
huberb,2020-11-24T13:23:48Z,5,0,16,16,50011
jorgensenj,2020-11-24T13:23:48Z,335,0,16,16,50011
kennedya,2020-11-24T13:23:48Z,15,0,16,16,50011
kopitkek,2020-11-24T13:23:48Z,6,0,16,16,50011
la_rivag,2020-11-24T13:23:48Z,6,0,16,16,50011
lafontainec,2020-11-24T13:23:48Z,66,0,16,16,50011
mccormick,2020-11-24T13:23:48Z,5,0,16,16,50011
paigeh,2020-11-24T13:23:48Z,120,0,16,16,50011
pierceb,2020-11-24T13:23:48Z,5,0,16,16,50011
scalfz,2020-11-24T13:23:48Z,1,0,16,16,50011
segalj,2020-11-24T13:23:48Z,4,0,16,16,50011
swingg,2020-11-24T13:23:48Z,9,0,16,16,50011
trumpd,2020-11-24T13:23:48Z,11274,0,16,16,50011
westk,2020-11-24T13:23:48Z,96,0,16,16,50011
write-ins,2020-11-24T13:23:48Z,140,0,16,16,50011
