CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2020-11-24T13:22:07Z,242820,0,3
blankenship-19247-46-p,2020-11-24T13:22:07Z,208,0,0
carroll-19790-46-p,2020-11-24T13:22:07Z,209,0,0
collins-20073950-46-p,2020-11-24T13:22:07Z,137,0,0
de-la-fuente-64542-46-p,2020-11-24T13:22:07Z,48,0,0
duncan-21126-46-p,2020-11-24T13:22:07Z,213,0,0
hawkins-32916-46-p,2020-11-24T13:22:07Z,1310,0,0
huber-20073948-46-p,2020-11-24T13:22:07Z,54,0,0
jorgensen-20062680-46-p,2020-11-24T13:22:07Z,3608,0,0
kennedy-65352-46-p,2020-11-24T13:22:07Z,195,0,0
kopitke-14237-46-p,2020-11-24T13:22:07Z,53,0,0
la-riva-254-46-p,2020-11-24T13:22:07Z,166,0,0
lafontaine-20074020-46-p,2020-11-24T13:22:07Z,856,0,0
mccormic-20074021-46-p,2020-11-24T13:22:07Z,126,0,0
paige-20569-46-p,2020-11-24T13:22:07Z,1175,0,0
pierce-20073903-46-p,2020-11-24T13:22:07Z,100,0,0
scalf-20074027-46-p,2020-11-24T13:22:07Z,29,0,0
segal-20073715-46-p,2020-11-24T13:22:07Z,65,0,0
swing-744-46-p,2020-11-24T13:22:07Z,141,0,0
trump-8639,2020-11-24T13:22:07Z,112704,0,0
west-20073902-46-p,2020-11-24T13:22:07Z,1269,0,0
write-ins-21303-46-p,2020-11-24T13:22:07Z,1942,0,0
