CANDIDATE,Timestamp,VOTE_SHARES,VOTES
fosterd,2020-11-04T05:35:58Z,0,0
luriae,2020-11-04T05:35:58Z,0,0
taylors,2020-11-04T05:35:58Z,0,0
fosterd,2020-11-04T00:22:17Z,0,882
luriae,2020-11-04T00:22:17Z,0.385,882
taylors,2020-11-04T00:22:17Z,0.615,882
fosterd,2020-11-04T00:26:06Z,0.014,1750
luriae,2020-11-04T00:26:06Z,0.314,1750
taylors,2020-11-04T00:26:06Z,0.672,1750
fosterd,2020-11-04T00:33:56Z,0.026,11173
luriae,2020-11-04T00:33:56Z,0.4,11173
taylors,2020-11-04T00:33:56Z,0.574,11173
fosterd,2020-11-04T00:35:13Z,0.029,12011
luriae,2020-11-04T00:35:13Z,0.4,12011
taylors,2020-11-04T00:35:13Z,0.571,12011
fosterd,2020-11-04T00:36:02Z,0.029,13495
luriae,2020-11-04T00:36:02Z,0.395,13495
taylors,2020-11-04T00:36:02Z,0.576,13495
fosterd,2020-11-04T00:37:07Z,0.029,14311
luriae,2020-11-04T00:37:07Z,0.388,14311
taylors,2020-11-04T00:37:07Z,0.583,14311
fosterd,2020-11-04T00:46:07Z,0.03,23138
luriae,2020-11-04T00:46:07Z,0.369,23138
taylors,2020-11-04T00:46:07Z,0.601,23138
fosterd,2020-11-04T00:51:17Z,0.031,28575
luriae,2020-11-04T00:51:17Z,0.39,28575
taylors,2020-11-04T00:51:17Z,0.579,28575
fosterd,2020-11-04T00:55:08Z,0.03,30557
luriae,2020-11-04T00:55:08Z,0.382,30557
taylors,2020-11-04T00:55:08Z,0.588,30557
fosterd,2020-11-04T00:57:01Z,0.03,46145
luriae,2020-11-04T00:57:01Z,0.364,46145
taylors,2020-11-04T00:57:01Z,0.606,46145
fosterd,2020-11-04T01:06:02Z,0.03,62716
luriae,2020-11-04T01:06:02Z,0.357,62716
taylors,2020-11-04T01:06:02Z,0.613,62716
fosterd,2020-11-04T01:11:33Z,0.03,66016
luriae,2020-11-04T01:11:33Z,0.354,66016
taylors,2020-11-04T01:11:33Z,0.616,66016
fosterd,2020-11-04T01:15:04Z,0.031,67120
luriae,2020-11-04T01:15:04Z,0.35,67120
taylors,2020-11-04T01:15:04Z,0.619,67120
fosterd,2020-11-04T01:19:04Z,0.031,71184
luriae,2020-11-04T01:19:04Z,0.358,71184
taylors,2020-11-04T01:19:04Z,0.611,71184
fosterd,2020-11-04T01:22:19Z,0.031,73066
luriae,2020-11-04T01:22:19Z,0.357,73066
taylors,2020-11-04T01:22:19Z,0.612,73066
fosterd,2020-11-04T01:23:15Z,0.03,101606
luriae,2020-11-04T01:23:15Z,0.377,101606
taylors,2020-11-04T01:23:15Z,0.593,101606
fosterd,2020-11-04T01:29:49Z,0.03,102503
luriae,2020-11-04T01:29:49Z,0.378,102503
taylors,2020-11-04T01:29:49Z,0.592,102503
fosterd,2020-11-04T01:32:13Z,0.03,103808
luriae,2020-11-04T01:32:13Z,0.376,103808
taylors,2020-11-04T01:32:13Z,0.594,103808
fosterd,2020-11-04T01:33:41Z,0.03,103818
luriae,2020-11-04T01:33:41Z,0.376,103818
taylors,2020-11-04T01:33:41Z,0.594,103818
fosterd,2020-11-04T01:44:10Z,0.03,113344
luriae,2020-11-04T01:44:10Z,0.38,113344
taylors,2020-11-04T01:44:10Z,0.59,113344
fosterd,2020-11-04T01:55:09Z,0.03,114231
luriae,2020-11-04T01:55:09Z,0.378,114231
taylors,2020-11-04T01:55:09Z,0.592,114231
fosterd,2020-11-04T02:10:32Z,0.03,119264
luriae,2020-11-04T02:10:32Z,0.377,119264
taylors,2020-11-04T02:10:32Z,0.594,119264
fosterd,2020-11-04T02:25:49Z,0.03,124192
luriae,2020-11-04T02:25:49Z,0.375,124192
taylors,2020-11-04T02:25:49Z,0.595,124192
fosterd,2020-11-04T02:32:59Z,0.03,125754
luriae,2020-11-04T02:32:59Z,0.375,125754
taylors,2020-11-04T02:32:59Z,0.595,125754
fosterd,2020-11-04T02:34:41Z,0.03,125758
luriae,2020-11-04T02:34:41Z,0.375,125758
taylors,2020-11-04T02:34:41Z,0.595,125758
fosterd,2020-11-04T02:36:32Z,0.029,132338
luriae,2020-11-04T02:36:32Z,0.389,132338
taylors,2020-11-04T02:36:32Z,0.581,132338
fosterd,2020-11-04T02:49:11Z,0.029,137765
luriae,2020-11-04T02:49:11Z,0.392,137765
taylors,2020-11-04T02:49:11Z,0.579,137765
fosterd,2020-11-04T03:02:36Z,0.029,139244
luriae,2020-11-04T03:02:36Z,0.391,139244
