CANDIDATE,Timestamp,VOTE_SHARES,VOTES
beelerj,2020-11-04T10:02:44Z,0,0
delbenes,2020-11-04T10:02:44Z,0,0
write-ins,2020-11-04T10:02:44Z,0,0
beelerj,2020-11-04T04:22:27Z,0.362,219210
delbenes,2020-11-04T04:22:27Z,0.638,219210
write-ins,2020-11-04T04:22:27Z,0,219210
beelerj,2020-11-04T04:29:56Z,0.393,359322
delbenes,2020-11-04T04:29:56Z,0.607,359322
write-ins,2020-11-04T04:29:56Z,0,359322
beelerj,2020-11-04T05:13:36Z,0.393,359375
delbenes,2020-11-04T05:13:36Z,0.607,359375
write-ins,2020-11-04T05:13:36Z,0,359375
beelerj,2020-11-05T00:02:55Z,0.395,369668
delbenes,2020-11-05T00:02:55Z,0.605,369668
write-ins,2020-11-05T00:02:55Z,0,369668
beelerj,2020-11-05T00:57:53Z,0.397,373851
delbenes,2020-11-05T00:57:53Z,0.603,373851
write-ins,2020-11-05T00:57:53Z,0,373851
beelerj,2020-11-05T01:18:55Z,0.403,383790
delbenes,2020-11-05T01:18:55Z,0.597,383790
write-ins,2020-11-05T01:18:55Z,0,383790
beelerj,2020-11-05T02:53:45Z,0.403,384949
delbenes,2020-11-05T02:53:45Z,0.597,384949
write-ins,2020-11-05T02:53:45Z,0,384949
beelerj,2020-11-05T23:58:41Z,0.404,393806
delbenes,2020-11-05T23:58:41Z,0.596,393806
write-ins,2020-11-05T23:58:41Z,0,393806
beelerj,2020-11-06T00:30:37Z,0.404,394281
delbenes,2020-11-06T00:30:37Z,0.596,394281
write-ins,2020-11-06T00:30:37Z,0,394281
beelerj,2020-11-06T01:15:39Z,0.408,400870
delbenes,2020-11-06T01:15:39Z,0.592,400870
write-ins,2020-11-06T01:15:39Z,0,400870
beelerj,2020-11-07T00:34:41Z,0.408,401142
delbenes,2020-11-07T00:34:41Z,0.592,401142
write-ins,2020-11-07T00:34:41Z,0,401142
beelerj,2020-11-07T01:05:51Z,0.407,402167
delbenes,2020-11-07T01:05:51Z,0.593,402167
write-ins,2020-11-07T01:05:51Z,0,402167
beelerj,2020-11-07T01:11:40Z,0.409,406209
delbenes,2020-11-07T01:11:40Z,0.591,406209
write-ins,2020-11-07T01:11:40Z,0,406209
beelerj,2020-11-07T01:39:40Z,0.41,409047
delbenes,2020-11-07T01:39:40Z,0.59,409047
write-ins,2020-11-07T01:39:40Z,0,409047
beelerj,2020-11-08T01:00:51Z,0.41,410578
delbenes,2020-11-08T01:00:51Z,0.59,410578
write-ins,2020-11-08T01:00:51Z,0,410578
beelerj,2020-11-08T01:01:42Z,0.411,414368
delbenes,2020-11-08T01:01:42Z,0.589,414368
write-ins,2020-11-08T01:01:42Z,0,414368
beelerj,2020-11-09T23:40:43Z,0.411,414680
delbenes,2020-11-09T23:40:43Z,0.589,414680
write-ins,2020-11-09T23:40:43Z,0,414680
beelerj,2020-11-09T23:47:42Z,0.412,416697
delbenes,2020-11-09T23:47:42Z,0.588,416697
write-ins,2020-11-09T23:47:42Z,0,416697
beelerj,2020-11-10T01:05:41Z,0.412,417714
delbenes,2020-11-10T01:05:41Z,0.588,417714
