CANDIDATE,Timestamp,VOTE_SHARES,VOTES
clinen,2020-11-04T10:02:24Z,0,0
mckinleyd,2020-11-04T10:02:24Z,0,0
write-ins,2020-11-04T10:02:24Z,0,0
clinen,2020-11-04T00:50:27Z,0.516,29449
mckinleyd,2020-11-04T00:50:27Z,0.484,29449
write-ins,2020-11-04T00:50:27Z,0,29449
clinen,2020-11-04T01:28:21Z,0.481,43918
mckinleyd,2020-11-04T01:28:21Z,0.519,43918
write-ins,2020-11-04T01:28:21Z,0,43918
clinen,2020-11-04T01:28:39Z,0.471,48010
mckinleyd,2020-11-04T01:28:39Z,0.528,48010
write-ins,2020-11-04T01:28:39Z,0.001,48010
clinen,2020-11-04T01:30:56Z,0.459,50862
mckinleyd,2020-11-04T01:30:56Z,0.54,50862
write-ins,2020-11-04T01:30:56Z,0.001,50862
clinen,2020-11-04T01:36:48Z,0.415,64278
mckinleyd,2020-11-04T01:36:48Z,0.584,64278
write-ins,2020-11-04T01:36:48Z,0.001,64278
clinen,2020-11-04T01:47:22Z,0.408,71250
mckinleyd,2020-11-04T01:47:22Z,0.591,71250
write-ins,2020-11-04T01:47:22Z,0.001,71250
clinen,2020-11-04T01:52:10Z,0.405,74101
mckinleyd,2020-11-04T01:52:10Z,0.595,74101
write-ins,2020-11-04T01:52:10Z,0.001,74101
clinen,2020-11-04T01:57:00Z,0.398,77413
mckinleyd,2020-11-04T01:57:00Z,0.602,77413
write-ins,2020-11-04T01:57:00Z,0.001,77413
clinen,2020-11-04T02:00:53Z,0.369,110013
mckinleyd,2020-11-04T02:00:53Z,0.63,110013
write-ins,2020-11-04T02:00:53Z,0.001,110013
clinen,2020-11-04T02:04:00Z,0.365,113824
mckinleyd,2020-11-04T02:04:00Z,0.635,113824
write-ins,2020-11-04T02:04:00Z,0.001,113824
clinen,2020-11-04T02:08:06Z,0.359,133218
mckinleyd,2020-11-04T02:08:06Z,0.64,133218
write-ins,2020-11-04T02:08:06Z,0.001,133218
clinen,2020-11-04T02:19:42Z,0.354,140355
