CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
deems-53380,2020-11-30T15:39:50.82Z,7297,0,0
garcia-52650,2020-11-30T15:39:50.82Z,9785,0,0
hamilton-53381,2020-11-30T15:39:50.82Z,1476,0,0
hamrick-51684,2020-11-30T15:39:50.82Z,14642,0,0
hyman-53442,2020-11-30T15:39:50.82Z,2275,0,0
iaquinta-59237,2020-11-30T15:39:50.82Z,12083,0,0
kimble-53383,2020-11-30T15:39:50.82Z,14495,0,0
maxwell-53385,2020-11-30T15:39:50.82Z,9831,0,0
queen-52796,2020-11-30T15:39:50.82Z,16706,0,0
riley-53386,2020-11-30T15:39:50.82Z,13559,0,0
