CANDIDATE,Timestamp,VOTE_SHARES,VOTES
fitzgeralds,2020-11-04T10:01:44Z,0,0
palzewiczt,2020-11-04T10:01:44Z,0,0
fitzgeralds,2020-11-04T02:25:54Z,0.688,43020
palzewiczt,2020-11-04T02:25:54Z,0.312,43020
fitzgeralds,2020-11-04T02:34:35Z,0.682,68244
palzewiczt,2020-11-04T02:34:35Z,0.318,68244
fitzgeralds,2020-11-04T02:43:07Z,0.678,74247
palzewiczt,2020-11-04T02:43:07Z,0.322,74247
fitzgeralds,2020-11-04T02:47:00Z,0.711,117621
palzewiczt,2020-11-04T02:47:00Z,0.289,117621
fitzgeralds,2020-11-04T02:51:56Z,0.688,157865
palzewiczt,2020-11-04T02:51:56Z,0.312,157865
fitzgeralds,2020-11-04T02:53:09Z,0.69,172760
palzewiczt,2020-11-04T02:53:09Z,0.31,172760
fitzgeralds,2020-11-04T02:54:12Z,0.684,176895
palzewiczt,2020-11-04T02:54:12Z,0.316,176895
fitzgeralds,2020-11-04T03:02:02Z,0.67,196381
palzewiczt,2020-11-04T03:02:02Z,0.33,196381
fitzgeralds,2020-11-04T03:03:33Z,0.671,197869
palzewiczt,2020-11-04T03:03:33Z,0.329,197869
fitzgeralds,2020-11-04T03:04:28Z,0.663,208557
palzewiczt,2020-11-04T03:04:28Z,0.337,208557
fitzgeralds,2020-11-04T03:30:54Z,0.663,228892
palzewiczt,2020-11-04T03:30:54Z,0.337,228892
fitzgeralds,2020-11-04T04:13:51Z,0.663,228894
palzewiczt,2020-11-04T04:13:51Z,0.337,228894
fitzgeralds,2020-11-04T04:15:08Z,0.663,231288
palzewiczt,2020-11-04T04:15:08Z,0.337,231288
fitzgeralds,2020-11-04T04:18:08Z,0.66,244922
palzewiczt,2020-11-04T04:18:08Z,0.34,244922
fitzgeralds,2020-11-04T04:19:36Z,0.663,259259
palzewiczt,2020-11-04T04:19:36Z,0.337,259259
fitzgeralds,2020-11-04T04:37:42Z,0.66,272096
palzewiczt,2020-11-04T04:37:42Z,0.34,272096
fitzgeralds,2020-11-04T04:59:21Z,0.66,272149
palzewiczt,2020-11-04T04:59:21Z,0.34,272149
fitzgeralds,2020-11-04T05:08:10Z,0.65,316977
palzewiczt,2020-11-04T05:08:10Z,0.35,316977
fitzgeralds,2020-11-04T05:17:20Z,0.651,323272
palzewiczt,2020-11-04T05:17:20Z,0.349,323272
fitzgeralds,2020-11-04T06:17:12Z,0.646,340207
palzewiczt,2020-11-04T06:17:12Z,0.354,340207
fitzgeralds,2020-11-04T06:31:52Z,0.645,342893
palzewiczt,2020-11-04T06:31:52Z,0.355,342893
fitzgeralds,2020-11-04T07:03:24Z,0.646,346529
palzewiczt,2020-11-04T07:03:24Z,0.354,346529
fitzgeralds,2020-11-04T07:19:45Z,0.641,361072
palzewiczt,2020-11-04T07:19:45Z,0.359,361072
fitzgeralds,2020-11-04T08:02:31Z,0.623,383403
palzewiczt,2020-11-04T08:02:31Z,0.377,383403
fitzgeralds,2020-11-04T08:03:39Z,0.617,403891
palzewiczt,2020-11-04T08:03:39Z,0.383,403891
fitzgeralds,2020-11-04T08:32:09Z,0.602,427575
palzewiczt,2020-11-04T08:32:09Z,0.398,427575
fitzgeralds,2020-11-04T08:40:06Z,0.603,430401
palzewiczt,2020-11-04T08:40:06Z,0.397,430401
fitzgeralds,2020-11-04T10:26:27Z,0.602,439230
palzewiczt,2020-11-04T10:26:27Z,0.398,439230
fitzgeralds,2020-11-04T12:23:25Z,0.601,441352
palzewiczt,2020-11-04T12:23:25Z,0.399,441352
fitzgeralds,2020-11-07T14:15:54Z,0.598,445697
palzewiczt,2020-11-07T14:15:54Z,0.402,445697
fitzgeralds,2020-11-12T00:51:36Z,0.598,445702
palzewiczt,2020-11-12T00:51:36Z,0.402,445702
fitzgeralds,2020-11-16T19:26:09Z,0.598,445639
palzewiczt,2020-11-16T19:26:09Z,0.402,445639
fitzgeralds,2020-11-16T19:55:32Z,0.598,445677
palzewiczt,2020-11-16T19:55:32Z,0.402,445677
fitzgeralds,2020-11-16T20:42:45Z,0.598,445677
palzewiczt,2020-11-16T20:42:45Z,0.402,445677
fitzgeralds,2020-11-16T23:16:09Z,0.601,441336
palzewiczt,2020-11-16T23:16:09Z,0.399,441336
fitzgeralds,2020-11-18T21:08:21.05Z,0.601,441336
palzewiczt,2020-11-18T21:08:21.05Z,0.399,441336
fitzgeralds,2020-11-20T14:19:12Z,0.601,441336
palzewiczt,2020-11-20T14:19:12Z,0.399,441336
fitzgeralds,2020-12-02T15:58:31.143Z,0.601,441336
palzewiczt,2020-12-02T15:58:31.143Z,0.399,441336
