CANDIDATE,Timestamp,VOTE_SHARES,VOTES
brubakerr,2020-11-04T08:04:01Z,0,0
cheneyl,2020-11-04T08:04:01Z,0,0
grey_bulll,2020-11-04T08:04:01Z,0,0
haggitj,2020-11-04T08:04:01Z,0,0
brubakerr,2020-11-04T02:40:42Z,0.047,1676
cheneyl,2020-11-04T02:40:42Z,0.745,1676
grey_bulll,2020-11-04T02:40:42Z,0.163,1676
haggitj,2020-11-04T02:40:42Z,0.045,1676
brubakerr,2020-11-04T02:58:08Z,0.05,4481
cheneyl,2020-11-04T02:58:08Z,0.761,4481
grey_bulll,2020-11-04T02:58:08Z,0.138,4481
haggitj,2020-11-04T02:58:08Z,0.051,4481
brubakerr,2020-11-04T03:09:50Z,0.042,6426
cheneyl,2020-11-04T03:09:50Z,0.729,6426
grey_bulll,2020-11-04T03:09:50Z,0.182,6426
haggitj,2020-11-04T03:09:50Z,0.047,6426
brubakerr,2020-11-04T03:40:56Z,0.043,11719
cheneyl,2020-11-04T03:40:56Z,0.758,11719
grey_bulll,2020-11-04T03:40:56Z,0.159,11719
haggitj,2020-11-04T03:40:56Z,0.04,11719
brubakerr,2020-11-04T03:47:16Z,0.048,16477
cheneyl,2020-11-04T03:47:16Z,0.717,16477
grey_bulll,2020-11-04T03:47:16Z,0.197,16477
haggitj,2020-11-04T03:47:16Z,0.038,16477
brubakerr,2020-11-04T03:47:44Z,0.046,17762
cheneyl,2020-11-04T03:47:44Z,0.728,17762
grey_bulll,2020-11-04T03:47:44Z,0.189,17762
haggitj,2020-11-04T03:47:44Z,0.037,17762
brubakerr,2020-11-04T03:54:38Z,0.042,34801
cheneyl,2020-11-04T03:54:38Z,0.687,34801
grey_bulll,2020-11-04T03:54:38Z,0.243,34801
haggitj,2020-11-04T03:54:38Z,0.028,34801
brubakerr,2020-11-04T03:59:22Z,0.042,45804
cheneyl,2020-11-04T03:59:22Z,0.68,45804
grey_bulll,2020-11-04T03:59:22Z,0.248,45804
haggitj,2020-11-04T03:59:22Z,0.03,45804
brubakerr,2020-11-04T04:07:15Z,0.043,54004
cheneyl,2020-11-04T04:07:15Z,0.689,54004
grey_bulll,2020-11-04T04:07:15Z,0.237,54004
haggitj,2020-11-04T04:07:15Z,0.031,54004
brubakerr,2020-11-04T04:08:19Z,0.041,70250
cheneyl,2020-11-04T04:08:19Z,0.706,70250
grey_bulll,2020-11-04T04:08:19Z,0.223,70250
haggitj,2020-11-04T04:08:19Z,0.031,70250
brubakerr,2020-11-04T04:10:36Z,0.04,73042
cheneyl,2020-11-04T04:10:36Z,0.712,73042
grey_bulll,2020-11-04T04:10:36Z,0.217,73042
haggitj,2020-11-04T04:10:36Z,0.031,73042
brubakerr,2020-11-04T04:12:15Z,0.04,73229
cheneyl,2020-11-04T04:12:15Z,0.713,73229
grey_bulll,2020-11-04T04:12:15Z,0.217,73229
haggitj,2020-11-04T04:12:15Z,0.031,73229
brubakerr,2020-11-04T04:12:33Z,0.04,91007
cheneyl,2020-11-04T04:12:33Z,0.7,91007
grey_bulll,2020-11-04T04:12:33Z,0.232,91007
haggitj,2020-11-04T04:12:33Z,0.028,91007
brubakerr,2020-11-04T04:15:41Z,0.04,94938
cheneyl,2020-11-04T04:15:41Z,0.703,94938
grey_bulll,2020-11-04T04:15:41Z,0.229,94938
haggitj,2020-11-04T04:15:41Z,0.029,94938
brubakerr,2020-11-04T04:18:53Z,0.039,98352
cheneyl,2020-11-04T04:18:53Z,0.707,98352
grey_bulll,2020-11-04T04:18:53Z,0.225,98352
haggitj,2020-11-04T04:18:53Z,0.029,98352
brubakerr,2020-11-04T04:20:48Z,0.038,106036
cheneyl,2020-11-04T04:20:48Z,0.713,106036
grey_bulll,2020-11-04T04:20:48Z,0.219,106036
haggitj,2020-11-04T04:20:48Z,0.029,106036
brubakerr,2020-11-04T04:28:55Z,0.041,123272
cheneyl,2020-11-04T04:28:55Z,0.721,123272
grey_bulll,2020-11-04T04:28:55Z,0.207,123272
haggitj,2020-11-04T04:28:55Z,0.03,123272
brubakerr,2020-11-04T04:30:34Z,0.04,131137
cheneyl,2020-11-04T04:30:34Z,0.716,131137
grey_bulll,2020-11-04T04:30:34Z,0.214,131137
haggitj,2020-11-04T04:30:34Z,0.03,131137
brubakerr,2020-11-04T04:31:43Z,0.04,133113
cheneyl,2020-11-04T04:31:43Z,0.716,133113
grey_bulll,2020-11-04T04:31:43Z,0.214,133113
haggitj,2020-11-04T04:31:43Z,0.03,133113
brubakerr,2020-11-04T04:46:26Z,0.04,134941
cheneyl,2020-11-04T04:46:26Z,0.715,134941
grey_bulll,2020-11-04T04:46:26Z,0.215,134941
haggitj,2020-11-04T04:46:26Z,0.03,134941
brubakerr,2020-11-04T04:50:29Z,0.04,144032
cheneyl,2020-11-04T04:50:29Z,0.717,144032
grey_bulll,2020-11-04T04:50:29Z,0.212,144032
haggitj,2020-11-04T04:50:29Z,0.031,144032
brubakerr,2020-11-04T05:01:41Z,0.04,148250
cheneyl,2020-11-04T05:01:41Z,0.719,148250
grey_bulll,2020-11-04T05:01:41Z,0.21,148250
haggitj,2020-11-04T05:01:41Z,0.031,148250
brubakerr,2020-11-04T05:09:02Z,0.04,156173
cheneyl,2020-11-04T05:09:02Z,0.726,156173
grey_bulll,2020-11-04T05:09:02Z,0.202,156173
haggitj,2020-11-04T05:09:02Z,0.032,156173
brubakerr,2020-11-04T05:23:44Z,0.04,157279
cheneyl,2020-11-04T05:23:44Z,0.727,157279
grey_bulll,2020-11-04T05:23:44Z,0.202,157279
haggitj,2020-11-04T05:23:44Z,0.032,157279
brubakerr,2020-11-04T05:26:32Z,0.039,163407
cheneyl,2020-11-04T05:26:32Z,0.728,163407
grey_bulll,2020-11-04T05:26:32Z,0.201,163407
haggitj,2020-11-04T05:26:32Z,0.032,163407
brubakerr,2020-11-04T05:28:35Z,0.039,170156
cheneyl,2020-11-04T05:28:35Z,0.731,170156
grey_bulll,2020-11-04T05:28:35Z,0.197,170156
haggitj,2020-11-04T05:28:35Z,0.032,170156
brubakerr,2020-11-04T05:37:54Z,0.039,176652
cheneyl,2020-11-04T05:37:54Z,0.731,176652
grey_bulll,2020-11-04T05:37:54Z,0.198,176652
haggitj,2020-11-04T05:37:54Z,0.032,176652
brubakerr,2020-11-04T05:49:00Z,0.039,182286
cheneyl,2020-11-04T05:49:00Z,0.733,182286
grey_bulll,2020-11-04T05:49:00Z,0.195,182286
haggitj,2020-11-04T05:49:00Z,0.032,182286
brubakerr,2020-11-04T05:55:41Z,0.038,196623
cheneyl,2020-11-04T05:55:41Z,0.706,196623
grey_bulll,2020-11-04T05:55:41Z,0.225,196623
haggitj,2020-11-04T05:55:41Z,0.031,196623
