CANDIDATE,Timestamp,VOTE_SHARES,VOTES
ben_davidm,2020-11-04T07:58:01Z,0,0
lummisc,2020-11-04T07:58:01Z,0,0
ben_davidm,2020-11-04T02:39:59Z,0.173,1696
lummisc,2020-11-04T02:39:59Z,0.827,1696
ben_davidm,2020-11-04T02:57:41Z,0.149,4526
lummisc,2020-11-04T02:57:41Z,0.851,4526
ben_davidm,2020-11-04T03:09:04Z,0.19,6490
lummisc,2020-11-04T03:09:04Z,0.81,6490
ben_davidm,2020-11-04T03:13:15Z,0.175,7228
lummisc,2020-11-04T03:13:15Z,0.825,7228
ben_davidm,2020-11-04T03:40:05Z,0.161,12545
lummisc,2020-11-04T03:40:05Z,0.839,12545
ben_davidm,2020-11-04T03:46:25Z,0.207,17308
lummisc,2020-11-04T03:46:25Z,0.793,17308
ben_davidm,2020-11-04T03:46:56Z,0.205,17856
lummisc,2020-11-04T03:46:56Z,0.795,17856
ben_davidm,2020-11-04T03:53:51Z,0.275,34895
lummisc,2020-11-04T03:53:51Z,0.725,34895
ben_davidm,2020-11-04T03:58:44Z,0.275,45959
lummisc,2020-11-04T03:58:44Z,0.725,45959
ben_davidm,2020-11-04T04:06:50Z,0.267,54148
lummisc,2020-11-04T04:06:50Z,0.733,54148
ben_davidm,2020-11-04T04:07:32Z,0.249,70436
lummisc,2020-11-04T04:07:32Z,0.751,70436
ben_davidm,2020-11-04T04:09:53Z,0.242,73241
lummisc,2020-11-04T04:09:53Z,0.758,73241
ben_davidm,2020-11-04T04:11:40Z,0.242,73428
lummisc,2020-11-04T04:11:40Z,0.758,73428
ben_davidm,2020-11-04T04:11:51Z,0.254,91127
lummisc,2020-11-04T04:11:51Z,0.746,91127
ben_davidm,2020-11-04T04:15:23Z,0.251,95063
lummisc,2020-11-04T04:15:23Z,0.749,95063
ben_davidm,2020-11-04T04:18:09Z,0.246,98504
lummisc,2020-11-04T04:18:09Z,0.754,98504
ben_davidm,2020-11-04T04:19:36Z,0.242,101355
lummisc,2020-11-04T04:19:36Z,0.758,101355
ben_davidm,2020-11-04T04:20:25Z,0.239,106194
lummisc,2020-11-04T04:20:25Z,0.761,106194
ben_davidm,2020-11-04T04:27:19Z,0.232,123420
lummisc,2020-11-04T04:27:19Z,0.768,123420
ben_davidm,2020-11-04T04:29:57Z,0.239,131317
lummisc,2020-11-04T04:29:57Z,0.761,131317
ben_davidm,2020-11-04T04:30:59Z,0.239,133307
lummisc,2020-11-04T04:30:59Z,0.761,133307
ben_davidm,2020-11-04T04:45:50Z,0.239,135137
lummisc,2020-11-04T04:45:50Z,0.761,135137
ben_davidm,2020-11-04T05:00:55Z,0.237,139362
lummisc,2020-11-04T05:00:55Z,0.763,139362
ben_davidm,2020-11-04T05:07:57Z,0.265,151024
lummisc,2020-11-04T05:07:57Z,0.735,151024
ben_davidm,2020-11-04T05:08:19Z,0.255,158921
lummisc,2020-11-04T05:08:19Z,0.745,158921
ben_davidm,2020-11-04T05:11:56Z,0.25,168066
lummisc,2020-11-04T05:11:56Z,0.75,168066
ben_davidm,2020-11-04T05:23:12Z,0.249,169172
lummisc,2020-11-04T05:23:12Z,0.751,169172
ben_davidm,2020-11-04T05:26:09Z,0.248,175288
lummisc,2020-11-04T05:26:09Z,0.752,175288
ben_davidm,2020-11-04T05:28:15Z,0.244,182030
lummisc,2020-11-04T05:28:15Z,0.756,182030
ben_davidm,2020-11-04T05:37:14Z,0.243,188560
lummisc,2020-11-04T05:37:14Z,0.757,188560
ben_davidm,2020-11-04T05:48:41Z,0.24,194203
lummisc,2020-11-04T05:48:41Z,0.76,194203
ben_davidm,2020-11-04T05:55:17Z,0.267,208603
lummisc,2020-11-04T05:55:17Z,0.733,208603
ben_davidm,2020-11-04T06:01:01Z,0.264,212628
lummisc,2020-11-04T06:01:01Z,0.736,212628
ben_davidm,2020-11-04T06:13:31Z,0.257,223627
lummisc,2020-11-04T06:13:31Z,0.743,223627
ben_davidm,2020-11-04T06:19:00Z,0.256,225329
lummisc,2020-11-04T06:19:00Z,0.744,225329
ben_davidm,2020-11-04T06:49:02Z,0.255,226939
lummisc,2020-11-04T06:49:02Z,0.745,226939
ben_davidm,2020-11-04T07:55:43Z,0.271,263144
lummisc,2020-11-04T07:55:43Z,0.729,263144
ben_davidm,2020-11-04T08:45:42Z,0.27,265672
lummisc,2020-11-04T08:45:42Z,0.73,265672
ben_davidm,2020-11-04T08:50:41Z,0.269,270498
lummisc,2020-11-04T08:50:41Z,0.731,270498
ben_davidm,2020-11-05T03:23:59Z,0.269,270498
lummisc,2020-11-05T03:23:59Z,0.731,270498
ben_davidm,2020-11-06T02:43:32Z,0.269,270681
lummisc,2020-11-06T02:43:32Z,0.731,270681
ben_davidm,2020-11-11T20:47:35Z,0.269,270684
lummisc,2020-11-11T20:47:35Z,0.731,270684
ben_davidm,2020-11-11T20:48:04Z,0.269,270686
lummisc,2020-11-11T20:48:04Z,0.731,270686
ben_davidm,2020-11-11T20:48:41Z,0.269,270688
lummisc,2020-11-11T20:48:41Z,0.731,270688
ben_davidm,2020-11-11T20:48:54Z,0.269,270689
lummisc,2020-11-11T20:48:54Z,0.731,270689
ben_davidm,2020-11-11T20:49:51Z,0.269,270805
lummisc,2020-11-11T20:49:51Z,0.731,270805
ben_davidm,2020-11-11T20:50:31Z,0.269,270811
lummisc,2020-11-11T20:50:31Z,0.731,270811
ben_davidm,2020-11-11T20:51:10Z,0.269,270829
lummisc,2020-11-11T20:51:10Z,0.731,270829
ben_davidm,2020-11-11T20:51:40Z,0.269,270864
lummisc,2020-11-11T20:51:40Z,0.731,270864
ben_davidm,2020-11-11T20:52:09Z,0.269,270866
lummisc,2020-11-11T20:52:09Z,0.731,270866
ben_davidm,2020-11-11T22:09:12Z,0.269,270866
lummisc,2020-11-11T22:09:12Z,0.731,270866
ben_davidm,2020-11-17T17:17:03.697Z,0.269,270866
lummisc,2020-11-17T17:17:03.697Z,0.731,270866
