CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ciattarellij,2021-11-01T12:58:08.450Z,0,0,0,561,34003
hoffmanm,2021-11-01T12:58:08.450Z,0,0,0,561,34003
kunianskyj,2021-11-01T12:58:08.450Z,0,0,0,561,34003
meleg,2021-11-01T12:58:08.450Z,0,0,0,561,34003
murphyp,2021-11-01T12:58:08.450Z,0,0,0,561,34003
ciattarellij,2021-11-02T16:59:07.517Z,0,0,0,561,34003
hoffmanm,2021-11-02T16:59:07.517Z,0,0,0,561,34003
kunianskyj,2021-11-02T16:59:07.517Z,0,0,0,561,34003
meleg,2021-11-02T16:59:07.517Z,0,0,0,561,34003
murphyp,2021-11-02T16:59:07.517Z,0,0,0,561,34003
ciattarellij,2021-11-03T00:02:24.297Z,0,0,0,561,34003
hoffmanm,2021-11-03T00:02:24.297Z,0,0,0,561,34003
kunianskyj,2021-11-03T00:02:24.297Z,0,0,0,561,34003
meleg,2021-11-03T00:02:24.297Z,0,0,0,561,34003
murphyp,2021-11-03T00:02:24.297Z,0,0,0,561,34003
ciattarellij,2021-11-03T00:24:34.587Z,65,0,1,561,34003
hoffmanm,2021-11-03T00:24:34.587Z,0,0,1,561,34003
kunianskyj,2021-11-03T00:24:34.587Z,0,0,1,561,34003
meleg,2021-11-03T00:24:34.587Z,0,0,1,561,34003
murphyp,2021-11-03T00:24:34.587Z,60,0,1,561,34003
ciattarellij,2021-11-03T00:25:35.513Z,310,0,2,561,34003
hoffmanm,2021-11-03T00:25:35.513Z,0,0,2,561,34003
kunianskyj,2021-11-03T00:25:35.513Z,0,0,2,561,34003
meleg,2021-11-03T00:25:35.513Z,0,0,2,561,34003
murphyp,2021-11-03T00:25:35.513Z,214,0,2,561,34003
ciattarellij,2021-11-03T00:29:38.117Z,711,0,3,561,34003
hoffmanm,2021-11-03T00:29:38.117Z,0,0,3,561,34003
kunianskyj,2021-11-03T00:29:38.117Z,3,0,3,561,34003
meleg,2021-11-03T00:29:38.117Z,3,0,3,561,34003
murphyp,2021-11-03T00:29:38.117Z,361,0,3,561,34003
ciattarellij,2021-11-03T00:31:39.530Z,816,0,3,561,34003
hoffmanm,2021-11-03T00:31:39.530Z,0,0,3,561,34003
kunianskyj,2021-11-03T00:31:39.530Z,3,0,3,561,34003
meleg,2021-11-03T00:31:39.530Z,3,0,3,561,34003
murphyp,2021-11-03T00:31:39.530Z,430,0,3,561,34003
ciattarellij,2021-11-03T00:33:40.767Z,1061,0,4,561,34003
hoffmanm,2021-11-03T00:33:40.767Z,0,0,4,561,34003
kunianskyj,2021-11-03T00:33:40.767Z,3,0,4,561,34003
meleg,2021-11-03T00:33:40.767Z,3,0,4,561,34003
murphyp,2021-11-03T00:33:40.767Z,594,0,4,561,34003
ciattarellij,2021-11-03T00:43:46.813Z,1225,0,5,561,34003
hoffmanm,2021-11-03T00:43:46.813Z,0,0,5,561,34003
kunianskyj,2021-11-03T00:43:46.813Z,3,0,5,561,34003
meleg,2021-11-03T00:43:46.813Z,4,0,5,561,34003
murphyp,2021-11-03T00:43:46.813Z,825,0,5,561,34003
ciattarellij,2021-11-03T01:49:31.067Z,20130,0,53,561,34003
hoffmanm,2021-11-03T01:49:31.067Z,56,0,53,561,34003
kunianskyj,2021-11-03T01:49:31.067Z,36,0,53,561,34003
meleg,2021-11-03T01:49:31.067Z,74,0,53,561,34003
murphyp,2021-11-03T01:49:31.067Z,18088,0,53,561,34003
ciattarellij,2021-11-03T02:19:53.787Z,58114,0,227,561,34003
hoffmanm,2021-11-03T02:19:53.787Z,184,0,227,561,34003
kunianskyj,2021-11-03T02:19:53.787Z,139,0,227,561,34003
meleg,2021-11-03T02:19:53.787Z,185,0,227,561,34003
murphyp,2021-11-03T02:19:53.787Z,47580,0,227,561,34003
ciattarellij,2021-11-03T02:43:09.147Z,94719,0,433,561,34003
hoffmanm,2021-11-03T02:43:09.147Z,316,0,433,561,34003
kunianskyj,2021-11-03T02:43:09.147Z,236,0,433,561,34003
meleg,2021-11-03T02:43:09.147Z,318,0,433,561,34003
murphyp,2021-11-03T02:43:09.147Z,82319,0,433,561,34003
ciattarellij,2021-11-03T03:18:32.330Z,113846,0,548,561,34003
hoffmanm,2021-11-03T03:18:32.330Z,386,0,548,561,34003
kunianskyj,2021-11-03T03:18:32.330Z,287,0,548,561,34003
meleg,2021-11-03T03:18:32.330Z,401,0,548,561,34003
murphyp,2021-11-03T03:18:32.330Z,103120,0,548,561,34003
ciattarellij,2021-11-03T04:17:14.143Z,114824,0,561,561,34003
hoffmanm,2021-11-03T04:17:14.143Z,390,0,561,561,34003
kunianskyj,2021-11-03T04:17:14.143Z,287,0,561,561,34003
meleg,2021-11-03T04:17:14.143Z,406,0,561,561,34003
murphyp,2021-11-03T04:17:14.143Z,104077,0,561,561,34003
ciattarellij,2021-11-03T05:50:06.807Z,124506,0,561,561,34003
hoffmanm,2021-11-03T05:50:06.807Z,561,0,561,561,34003
kunianskyj,2021-11-03T05:50:06.807Z,381,0,561,561,34003
meleg,2021-11-03T05:50:06.807Z,490,0,561,561,34003
murphyp,2021-11-03T05:50:06.807Z,135590,0,561,561,34003
ciattarellij,2021-11-03T13:56:48.550Z,124506,0,561,561,34003
hoffmanm,2021-11-03T13:56:48.550Z,561,0,561,561,34003
kunianskyj,2021-11-03T13:56:48.550Z,381,0,561,561,34003
meleg,2021-11-03T13:56:48.550Z,490,0,561,561,34003
murphyp,2021-11-03T13:56:48.550Z,135590,0,561,561,34003
