CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ciattarellij,2021-11-01T12:58:08.450Z,0,0,0,116,34019
hoffmanm,2021-11-01T12:58:08.450Z,0,0,0,116,34019
kunianskyj,2021-11-01T12:58:08.450Z,0,0,0,116,34019
meleg,2021-11-01T12:58:08.450Z,0,0,0,116,34019
murphyp,2021-11-01T12:58:08.450Z,0,0,0,116,34019
ciattarellij,2021-11-02T16:59:07.517Z,0,0,0,116,34019
hoffmanm,2021-11-02T16:59:07.517Z,0,0,0,116,34019
kunianskyj,2021-11-02T16:59:07.517Z,0,0,0,116,34019
meleg,2021-11-02T16:59:07.517Z,0,0,0,116,34019
murphyp,2021-11-02T16:59:07.517Z,0,0,0,116,34019
ciattarellij,2021-11-03T00:02:24.297Z,0,0,0,116,34019
hoffmanm,2021-11-03T00:02:24.297Z,0,0,0,116,34019
kunianskyj,2021-11-03T00:02:24.297Z,0,0,0,116,34019
meleg,2021-11-03T00:02:24.297Z,0,0,0,116,34019
murphyp,2021-11-03T00:02:24.297Z,0,0,0,116,34019
ciattarellij,2021-11-03T00:14:28.853Z,305,0,1,116,34019
hoffmanm,2021-11-03T00:14:28.853Z,4,0,1,116,34019
kunianskyj,2021-11-03T00:14:28.853Z,0,0,1,116,34019
meleg,2021-11-03T00:14:28.853Z,1,0,1,116,34019
murphyp,2021-11-03T00:14:28.853Z,93,0,1,116,34019
ciattarellij,2021-11-03T00:28:37.337Z,3032,0,0,116,34019
hoffmanm,2021-11-03T00:28:37.337Z,61,0,0,116,34019
kunianskyj,2021-11-03T00:28:37.337Z,31,0,0,116,34019
meleg,2021-11-03T00:28:37.337Z,34,0,0,116,34019
murphyp,2021-11-03T00:28:37.337Z,6256,0,0,116,34019
ciattarellij,2021-11-03T00:44:47.430Z,4527,0,7,116,34019
hoffmanm,2021-11-03T00:44:47.430Z,71,0,7,116,34019
kunianskyj,2021-11-03T00:44:47.430Z,35,0,7,116,34019
meleg,2021-11-03T00:44:47.430Z,38,0,7,116,34019
murphyp,2021-11-03T00:44:47.430Z,7210,0,7,116,34019
ciattarellij,2021-11-03T00:46:48.290Z,4807,0,9,116,34019
hoffmanm,2021-11-03T00:46:48.290Z,72,0,9,116,34019
kunianskyj,2021-11-03T00:46:48.290Z,35,0,9,116,34019
meleg,2021-11-03T00:46:48.290Z,38,0,9,116,34019
murphyp,2021-11-03T00:46:48.290Z,7412,0,9,116,34019
ciattarellij,2021-11-03T00:55:54.060Z,6875,0,19,116,34019
