CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ciattarellij,2021-11-01T12:58:08.450Z,0,0,0,413,34029
hoffmanm,2021-11-01T12:58:08.450Z,0,0,0,413,34029
kunianskyj,2021-11-01T12:58:08.450Z,0,0,0,413,34029
meleg,2021-11-01T12:58:08.450Z,0,0,0,413,34029
murphyp,2021-11-01T12:58:08.450Z,0,0,0,413,34029
ciattarellij,2021-11-02T16:59:07.517Z,0,0,0,413,34029
hoffmanm,2021-11-02T16:59:07.517Z,0,0,0,413,34029
kunianskyj,2021-11-02T16:59:07.517Z,0,0,0,413,34029
meleg,2021-11-02T16:59:07.517Z,0,0,0,413,34029
murphyp,2021-11-02T16:59:07.517Z,0,0,0,413,34029
ciattarellij,2021-11-03T00:02:24.297Z,0,0,0,413,34029
hoffmanm,2021-11-03T00:02:24.297Z,0,0,0,413,34029
kunianskyj,2021-11-03T00:02:24.297Z,0,0,0,413,34029
meleg,2021-11-03T00:02:24.297Z,0,0,0,413,34029
murphyp,2021-11-03T00:02:24.297Z,0,0,0,413,34029
ciattarellij,2021-11-03T00:19:31.537Z,11814,0,0,413,34029
hoffmanm,2021-11-03T00:19:31.537Z,105,0,0,413,34029
kunianskyj,2021-11-03T00:19:31.537Z,58,0,0,413,34029
meleg,2021-11-03T00:19:31.537Z,101,0,0,413,34029
murphyp,2021-11-03T00:19:31.537Z,17436,0,0,413,34029
ciattarellij,2021-11-03T00:38:43.713Z,14891,0,9,413,34029
hoffmanm,2021-11-03T00:38:43.713Z,115,0,9,413,34029
kunianskyj,2021-11-03T00:38:43.713Z,63,0,9,413,34029
meleg,2021-11-03T00:38:43.713Z,111,0,9,413,34029
murphyp,2021-11-03T00:38:43.713Z,18327,0,9,413,34029
ciattarellij,2021-11-03T00:43:46.813Z,20754,0,31,413,34029
hoffmanm,2021-11-03T00:43:46.813Z,137,0,31,413,34029
kunianskyj,2021-11-03T00:43:46.813Z,73,0,31,413,34029
meleg,2021-11-03T00:43:46.813Z,130,0,31,413,34029
murphyp,2021-11-03T00:43:46.813Z,20129,0,31,413,34029
ciattarellij,2021-11-03T00:49:50.223Z,29601,0,63,413,34029
hoffmanm,2021-11-03T00:49:50.223Z,165,0,63,413,34029
kunianskyj,2021-11-03T00:49:50.223Z,82,0,63,413,34029
meleg,2021-11-03T00:49:50.223Z,169,0,63,413,34029
murphyp,2021-11-03T00:49:50.223Z,22861,0,63,413,34029
ciattarellij,2021-11-03T00:54:53.410Z,35841,0,84,413,34029
hoffmanm,2021-11-03T00:54:53.410Z,191,0,84,413,34029
kunianskyj,2021-11-03T00:54:53.410Z,89,0,84,413,34029
meleg,2021-11-03T00:54:53.410Z,197,0,84,413,34029
murphyp,2021-11-03T00:54:53.410Z,24820,0,84,413,34029
ciattarellij,2021-11-03T00:59:56.573Z,45841,0,118,413,34029
hoffmanm,2021-11-03T00:59:56.573Z,228,0,118,413,34029
kunianskyj,2021-11-03T00:59:56.573Z,101,0,118,413,34029
meleg,2021-11-03T00:59:56.573Z,245,0,118,413,34029
murphyp,2021-11-03T00:59:56.573Z,27946,0,118,413,34029
ciattarellij,2021-11-03T01:08:01.903Z,59031,0,163,413,34029
hoffmanm,2021-11-03T01:08:01.903Z,262,0,163,413,34029
kunianskyj,2021-11-03T01:08:01.903Z,117,0,163,413,34029
meleg,2021-11-03T01:08:01.903Z,303,0,163,413,34029
murphyp,2021-11-03T01:08:01.903Z,31938,0,163,413,34029
ciattarellij,2021-11-03T01:19:09.283Z,88356,0,223,413,34029
hoffmanm,2021-11-03T01:19:09.283Z,353,0,223,413,34029
kunianskyj,2021-11-03T01:19:09.283Z,156,0,223,413,34029
meleg,2021-11-03T01:19:09.283Z,426,0,223,413,34029
murphyp,2021-11-03T01:19:09.283Z,43696,0,223,413,34029
ciattarellij,2021-11-03T01:29:15.697Z,102299,0,277,413,34029
hoffmanm,2021-11-03T01:29:15.697Z,395,0,277,413,34029
kunianskyj,2021-11-03T01:29:15.697Z,178,0,277,413,34029
meleg,2021-11-03T01:29:15.697Z,496,0,277,413,34029
murphyp,2021-11-03T01:29:15.697Z,48583,0,277,413,34029
ciattarellij,2021-11-03T01:36:19.870Z,108552,0,299,413,34029
hoffmanm,2021-11-03T01:36:19.870Z,411,0,299,413,34029
kunianskyj,2021-11-03T01:36:19.870Z,183,0,299,413,34029
meleg,2021-11-03T01:36:19.870Z,522,0,299,413,34029
murphyp,2021-11-03T01:36:19.870Z,50680,0,299,413,34029
ciattarellij,2021-11-03T01:44:24.863Z,116548,0,325,413,34029
hoffmanm,2021-11-03T01:44:24.863Z,430,0,325,413,34029
kunianskyj,2021-11-03T01:44:24.863Z,190,0,325,413,34029
meleg,2021-11-03T01:44:24.863Z,548,0,325,413,34029
murphyp,2021-11-03T01:44:24.863Z,53317,0,325,413,34029
ciattarellij,2021-11-03T01:55:35.083Z,119627,0,335,413,34029
hoffmanm,2021-11-03T01:55:35.083Z,439,0,335,413,34029
kunianskyj,2021-11-03T01:55:35.083Z,193,0,335,413,34029
meleg,2021-11-03T01:55:35.083Z,560,0,335,413,34029
murphyp,2021-11-03T01:55:35.083Z,54326,0,335,413,34029
ciattarellij,2021-11-03T02:05:43.490Z,119627,11814,335,413,34029
hoffmanm,2021-11-03T02:05:43.490Z,439,105,335,413,34029
kunianskyj,2021-11-03T02:05:43.490Z,193,58,335,413,34029
meleg,2021-11-03T02:05:43.490Z,560,101,335,413,34029
murphyp,2021-11-03T02:05:43.490Z,54326,17436,335,413,34029
ciattarellij,2021-11-03T02:08:45.787Z,123139,11814,349,413,34029
hoffmanm,2021-11-03T02:08:45.787Z,449,105,349,413,34029
kunianskyj,2021-11-03T02:08:45.787Z,196,58,349,413,34029
meleg,2021-11-03T02:08:45.787Z,581,101,349,413,34029
murphyp,2021-11-03T02:08:45.787Z,55568,17436,349,413,34029
ciattarellij,2021-11-03T02:59:20.667Z,132468,11814,382,413,34029
hoffmanm,2021-11-03T02:59:20.667Z,498,105,382,413,34029
kunianskyj,2021-11-03T02:59:20.667Z,214,58,382,413,34029
meleg,2021-11-03T02:59:20.667Z,615,101,382,413,34029
