CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ciattarellij,2021-11-01T12:58:08.450Z,0,0,0,119,34037
hoffmanm,2021-11-01T12:58:08.450Z,0,0,0,119,34037
kunianskyj,2021-11-01T12:58:08.450Z,0,0,0,119,34037
meleg,2021-11-01T12:58:08.450Z,0,0,0,119,34037
murphyp,2021-11-01T12:58:08.450Z,0,0,0,119,34037
ciattarellij,2021-11-02T16:59:07.517Z,0,0,0,119,34037
hoffmanm,2021-11-02T16:59:07.517Z,0,0,0,119,34037
kunianskyj,2021-11-02T16:59:07.517Z,0,0,0,119,34037
meleg,2021-11-02T16:59:07.517Z,0,0,0,119,34037
murphyp,2021-11-02T16:59:07.517Z,0,0,0,119,34037
ciattarellij,2021-11-03T00:02:24.297Z,0,0,0,119,34037
hoffmanm,2021-11-03T00:02:24.297Z,0,0,0,119,34037
kunianskyj,2021-11-03T00:02:24.297Z,0,0,0,119,34037
meleg,2021-11-03T00:02:24.297Z,0,0,0,119,34037
murphyp,2021-11-03T00:02:24.297Z,0,0,0,119,34037
ciattarellij,2021-11-03T03:29:40.980Z,2054,0,119,119,34037
hoffmanm,2021-11-03T03:29:40.980Z,20,0,119,119,34037
kunianskyj,2021-11-03T03:29:40.980Z,16,0,119,119,34037
meleg,2021-11-03T03:29:40.980Z,30,0,119,119,34037
murphyp,2021-11-03T03:29:40.980Z,1266,0,119,119,34037
ciattarellij,2021-11-03T03:31:43.173Z,2054,0,1,119,34037
hoffmanm,2021-11-03T03:31:43.173Z,20,0,1,119,34037
kunianskyj,2021-11-03T03:31:43.173Z,16,0,1,119,34037
meleg,2021-11-03T03:31:43.173Z,30,0,1,119,34037
murphyp,2021-11-03T03:31:43.173Z,1266,0,1,119,34037
ciattarellij,2021-11-03T03:36:46.897Z,2054,2054,1,119,34037
hoffmanm,2021-11-03T03:36:46.897Z,20,20,1,119,34037
kunianskyj,2021-11-03T03:36:46.897Z,16,16,1,119,34037
meleg,2021-11-03T03:36:46.897Z,30,30,1,119,34037
murphyp,2021-11-03T03:36:46.897Z,1266,1266,1,119,34037
ciattarellij,2021-11-03T04:40:30.680Z,4451,2054,119,119,34037
hoffmanm,2021-11-03T04:40:30.680Z,73,20,119,119,34037
kunianskyj,2021-11-03T04:40:30.680Z,32,16,119,119,34037
meleg,2021-11-03T04:40:30.680Z,72,30,119,119,34037
murphyp,2021-11-03T04:40:30.680Z,5579,1266,119,119,34037
ciattarellij,2021-11-03T05:26:51.510Z,30908,2054,119,119,34037
hoffmanm,2021-11-03T05:26:51.510Z,223,20,119,119,34037
kunianskyj,2021-11-03T05:26:51.510Z,55,16,119,119,34037
meleg,2021-11-03T05:26:51.510Z,177,30,119,119,34037
murphyp,2021-11-03T05:26:51.510Z,11035,1266,119,119,34037
ciattarellij,2021-11-03T05:55:09.720Z,36487,2054,119,119,34037
hoffmanm,2021-11-03T05:55:09.720Z,296,20,119,119,34037
kunianskyj,2021-11-03T05:55:09.720Z,87,16,119,119,34037
meleg,2021-11-03T05:55:09.720Z,249,30,119,119,34037
murphyp,2021-11-03T05:55:09.720Z,16614,1266,119,119,34037
ciattarellij,2021-11-03T13:56:48.550Z,35359,2054,119,119,34037
hoffmanm,2021-11-03T13:56:48.550Z,296,20,119,119,34037
kunianskyj,2021-11-03T13:56:48.550Z,87,16,119,119,34037
meleg,2021-11-03T13:56:48.550Z,249,30,119,119,34037
murphyp,2021-11-03T13:56:48.550Z,16614,1266,119,119,34037
