CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
burzichelli-56646,2021-11-01T12:58:08.450Z,0,0,0
mccarthy-patrick-35413,2021-11-01T12:58:08.450Z,0,0,0
sawyer-35244,2021-11-01T12:58:08.450Z,0,0,0
taliaferro-34791,2021-11-01T12:58:08.450Z,0,0,0
burzichelli-56646,2021-11-02T16:59:07.517Z,0,0,0
mccarthy-patrick-35413,2021-11-02T16:59:07.517Z,0,0,0
sawyer-35244,2021-11-02T16:59:07.517Z,0,0,0
taliaferro-34791,2021-11-02T16:59:07.517Z,0,0,0
burzichelli-56646,2021-11-03T00:02:24.297Z,0,0,0
mccarthy-patrick-35413,2021-11-03T00:02:24.297Z,0,0,0
sawyer-35244,2021-11-03T00:02:24.297Z,0,0,0
taliaferro-34791,2021-11-03T00:02:24.297Z,0,0,0
burzichelli-56646,2021-11-03T00:13:28.247Z,6267,6267,0
mccarthy-patrick-35413,2021-11-03T00:13:28.247Z,2355,2355,0
sawyer-35244,2021-11-03T00:13:28.247Z,2418,2418,0
taliaferro-34791,2021-11-03T00:13:28.247Z,6302,6302,0
burzichelli-56646,2021-11-03T00:41:45.603Z,8716,6267,0
mccarthy-patrick-35413,2021-11-03T00:41:45.603Z,4670,2355,0
sawyer-35244,2021-11-03T00:41:45.603Z,4754,2418,0
taliaferro-34791,2021-11-03T00:41:45.603Z,8773,6302,0
burzichelli-56646,2021-11-03T01:04:59.887Z,10734,6267,0
mccarthy-patrick-35413,2021-11-03T01:04:59.887Z,7303,2355,0
sawyer-35244,2021-11-03T01:04:59.887Z,7401,2418,0
taliaferro-34791,2021-11-03T01:04:59.887Z,10820,6302,0
burzichelli-56646,2021-11-03T01:40:22.357Z,16951,6267,0
mccarthy-patrick-35413,2021-11-03T01:40:22.357Z,15705,2355,0
sawyer-35244,2021-11-03T01:40:22.357Z,15896,2418,0
taliaferro-34791,2021-11-03T01:40:22.357Z,17008,6302,0
burzichelli-56646,2021-11-03T01:53:33.760Z,17312,6267,0
mccarthy-patrick-35413,2021-11-03T01:53:33.760Z,16296,2355,0
sawyer-35244,2021-11-03T01:53:33.760Z,16499,2418,0
taliaferro-34791,2021-11-03T01:53:33.760Z,17360,6302,0
burzichelli-56646,2021-11-03T02:21:55.087Z,18256,0,0
mccarthy-patrick-35413,2021-11-03T02:21:55.087Z,17747,0,0
sawyer-35244,2021-11-03T02:21:55.087Z,17955,0,0
taliaferro-34791,2021-11-03T02:21:55.087Z,18317,0,0
burzichelli-56646,2021-11-03T02:52:15.400Z,18438,0,0
mccarthy-patrick-35413,2021-11-03T02:52:15.400Z,17853,0,0
sawyer-35244,2021-11-03T02:52:15.400Z,18062,0,0
taliaferro-34791,2021-11-03T02:52:15.400Z,18497,0,0
burzichelli-56646,2021-11-03T03:01:21.963Z,19089,6267,0
mccarthy-patrick-35413,2021-11-03T03:01:21.963Z,18899,2355,0
sawyer-35244,2021-11-03T03:01:21.963Z,19113,2418,0
taliaferro-34791,2021-11-03T03:01:21.963Z,19158,6302,0
burzichelli-56646,2021-11-03T03:16:31.037Z,19785,6267,0
mccarthy-patrick-35413,2021-11-03T03:16:31.037Z,19648,2355,0
sawyer-35244,2021-11-03T03:16:31.037Z,19874,2418,0
taliaferro-34791,2021-11-03T03:16:31.037Z,19856,6302,0
burzichelli-56646,2021-11-03T03:52:58.350Z,20414,6267,0
mccarthy-patrick-35413,2021-11-03T03:52:58.350Z,20046,2355,0
sawyer-35244,2021-11-03T03:52:58.350Z,20273,2418,0
taliaferro-34791,2021-11-03T03:52:58.350Z,20477,6302,0
burzichelli-56646,2021-11-03T05:27:52.620Z,28272,6267,0
mccarthy-patrick-35413,2021-11-03T05:27:52.620Z,30600,2355,0
sawyer-35244,2021-11-03T05:27:52.620Z,30757,2418,0
taliaferro-34791,2021-11-03T05:27:52.620Z,27845,6302,0
burzichelli-56646,2021-11-03T05:47:04.547Z,29608,6267,0
mccarthy-patrick-35413,2021-11-03T05:47:04.547Z,32119,2355,0
sawyer-35244,2021-11-03T05:47:04.547Z,32283,2418,0
taliaferro-34791,2021-11-03T05:47:04.547Z,29163,6302,0
burzichelli-56646,2021-11-03T13:56:48.550Z,29608,6267,0
mccarthy-patrick-35413,2021-11-03T13:56:48.550Z,32119,2355,0
sawyer-35244,2021-11-03T13:56:48.550Z,32283,2418,0
taliaferro-34791,2021-11-03T13:56:48.550Z,29163,6302,0
