CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
michelson-34832,2021-11-01T12:58:08.450Z,0,0,0
scutari-56742,2021-11-01T12:58:08.450Z,0,0,0
michelson-34832,2021-11-02T16:59:07.517Z,0,0,0
scutari-56742,2021-11-02T16:59:07.517Z,0,0,0
michelson-34832,2021-11-03T00:02:24.297Z,0,0,0
scutari-56742,2021-11-03T00:02:24.297Z,0,0,0
michelson-34832,2021-11-03T01:06:00.563Z,636,636,0
scutari-56742,2021-11-03T01:06:00.563Z,1565,1565,0
michelson-34832,2021-11-03T01:09:02.697Z,1058,1058,0
scutari-56742,2021-11-03T01:09:02.697Z,2437,2437,0
michelson-34832,2021-11-03T01:24:12.470Z,1345,1058,0
scutari-56742,2021-11-03T01:24:12.470Z,2929,2437,0
michelson-34832,2021-11-03T01:43:24.240Z,2261,1058,0
scutari-56742,2021-11-03T01:43:24.240Z,4060,2437,0
michelson-34832,2021-11-03T01:47:29.807Z,3087,1058,0
scutari-56742,2021-11-03T01:47:29.807Z,4468,2437,0
michelson-34832,2021-11-03T01:58:36.987Z,3397,1368,0
scutari-56742,2021-11-03T01:58:36.987Z,5564,3533,0
michelson-34832,2021-11-03T02:06:44.537Z,7061,1368,0
scutari-56742,2021-11-03T02:06:44.537Z,11378,3533,0
michelson-34832,2021-11-03T02:16:50.940Z,8250,1368,0
scutari-56742,2021-11-03T02:16:50.940Z,13957,3533,0
michelson-34832,2021-11-03T02:31:01.117Z,9266,946,0
scutari-56742,2021-11-03T02:31:01.117Z,14441,2661,0
michelson-34832,2021-11-03T02:48:12.757Z,10375,636,0
scutari-56742,2021-11-03T02:48:12.757Z,14965,1565,0
michelson-34832,2021-11-03T02:56:18.350Z,11789,1058,0
scutari-56742,2021-11-03T02:56:18.350Z,16690,2437,0
michelson-34832,2021-11-03T02:59:20.667Z,13876,422,0
scutari-56742,2021-11-03T02:59:20.667Z,24416,872,0
michelson-34832,2021-11-03T03:21:34.270Z,15486,422,0
scutari-56742,2021-11-03T03:21:34.270Z,27172,872,0
michelson-34832,2021-11-03T03:26:37.840Z,15486,422,0
scutari-56742,2021-11-03T03:26:37.840Z,27172,872,0
michelson-34832,2021-11-03T03:27:38.487Z,15486,0,0
scutari-56742,2021-11-03T03:27:38.487Z,27172,0,0
michelson-34832,2021-11-03T03:36:46.897Z,18717,0,0
scutari-56742,2021-11-03T03:36:46.897Z,28453,0,0
michelson-34832,2021-11-03T04:26:19.217Z,18577,0,0
scutari-56742,2021-11-03T04:26:19.217Z,28082,0,0
michelson-34832,2021-11-03T05:03:41.397Z,18652,0,0
scutari-56742,2021-11-03T05:03:41.397Z,28279,0,0
michelson-34832,2021-11-03T05:56:10.403Z,18916,310,0
scutari-56742,2021-11-03T05:56:10.403Z,28863,1096,0
michelson-34832,2021-11-03T13:56:51.597Z,18916,310,0
scutari-56742,2021-11-03T13:56:51.597Z,28863,1096,0
