CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,127,34009
yes,2021-11-01T12:58:08.450Z,0,0,0,127,34009
no,2021-11-02T16:59:07.517Z,0,0,0,127,34009
yes,2021-11-02T16:59:07.517Z,0,0,0,127,34009
no,2021-11-03T00:02:24.297Z,0,0,0,127,34009
yes,2021-11-03T00:02:24.297Z,0,0,0,127,34009
no,2021-11-03T01:36:19.870Z,3206,0,1,127,34009
yes,2021-11-03T01:36:19.870Z,6364,0,1,127,34009
no,2021-11-03T02:23:56.487Z,10431,0,127,127,34009
yes,2021-11-03T02:23:56.487Z,20118,0,127,127,34009
no,2021-11-03T04:54:37.99Z,10431,0,127,127,34009
yes,2021-11-03T04:54:37.99Z,20118,0,127,127,34009
no,2021-11-03T13:56:55.68Z,10431,0,127,127,34009
yes,2021-11-03T13:56:55.68Z,20118,0,127,127,34009
