CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,116,34019
yes,2021-11-01T12:58:08.450Z,0,0,0,116,34019
no,2021-11-02T16:59:07.517Z,0,0,0,116,34019
yes,2021-11-02T16:59:07.517Z,0,0,0,116,34019
no,2021-11-03T00:02:24.297Z,0,0,0,116,34019
yes,2021-11-03T00:02:24.297Z,0,0,0,116,34019
no,2021-11-03T00:50:50.850Z,4072,0,9,116,34019
yes,2021-11-03T00:50:50.850Z,7131,0,9,116,34019
no,2021-11-03T00:55:54.060Z,4870,0,19,116,34019
yes,2021-11-03T00:55:54.060Z,8659,0,19,116,34019
no,2021-11-03T00:59:56.573Z,6066,0,31,116,34019
yes,2021-11-03T00:59:56.573Z,10873,0,31,116,34019
no,2021-11-03T01:04:59.887Z,7252,0,42,116,34019
yes,2021-11-03T01:04:59.887Z,12796,0,42,116,34019
no,2021-11-03T01:09:02.697Z,8302,0,52,116,34019
yes,2021-11-03T01:09:02.697Z,14468,0,52,116,34019
no,2021-11-03T01:14:06.040Z,9479,0,64,116,34019
yes,2021-11-03T01:14:06.040Z,16585,0,64,116,34019
no,2021-11-03T01:17:08.007Z,10224,0,73,116,34019
yes,2021-11-03T01:17:08.007Z,17978,0,73,116,34019
no,2021-11-03T01:18:08.653Z,11636,0,84,116,34019
yes,2021-11-03T01:18:08.653Z,20213,0,84,116,34019
no,2021-11-03T01:21:10.593Z,11832,0,86,116,34019
yes,2021-11-03T01:21:10.593Z,20573,0,86,116,34019
no,2021-11-03T01:25:13.233Z,12789,0,96,116,34019
yes,2021-11-03T01:25:13.233Z,22223,0,96,116,34019
no,2021-11-03T01:31:17.037Z,14558,0,111,116,34019
yes,2021-11-03T01:31:17.037Z,25043,0,111,116,34019
no,2021-11-03T01:34:18.590Z,14812,0,114,116,34019
yes,2021-11-03T01:34:18.590Z,25439,0,114,116,34019
no,2021-11-03T01:44:24.863Z,14886,0,115,116,34019
yes,2021-11-03T01:44:24.863Z,25582,0,115,116,34019
no,2021-11-03T02:10:47.067Z,14886,0,116,116,34019
yes,2021-11-03T02:10:47.067Z,25582,0,116,116,34019
no,2021-11-03T04:54:37.99Z,14886,0,116,116,34019
yes,2021-11-03T04:54:37.99Z,25582,0,116,116,34019
no,2021-11-03T13:56:55.68Z,16478,0,116,116,34019
yes,2021-11-03T13:56:55.68Z,28242,0,116,116,34019
