CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,615,34023
yes,2021-11-01T12:58:08.450Z,0,0,0,615,34023
no,2021-11-02T16:59:07.517Z,0,0,0,615,34023
yes,2021-11-02T16:59:07.517Z,0,0,0,615,34023
no,2021-11-03T00:02:24.297Z,0,0,0,615,34023
yes,2021-11-03T00:02:24.297Z,0,0,0,615,34023
no,2021-11-03T01:06:00.563Z,27371,0,0,615,34023
yes,2021-11-03T01:06:00.563Z,38099,0,0,615,34023
no,2021-11-03T01:35:19.243Z,38922,0,216,615,34023
yes,2021-11-03T01:35:19.243Z,55570,0,216,615,34023
no,2021-11-03T02:05:43.490Z,38922,27371,216,615,34023
yes,2021-11-03T02:05:43.490Z,55570,38099,216,615,34023
no,2021-11-03T02:17:51.973Z,56706,27371,503,615,34023
yes,2021-11-03T02:17:51.973Z,82181,38099,503,615,34023
no,2021-11-03T02:42:08.503Z,62061,27371,581,615,34023
yes,2021-11-03T02:42:08.503Z,89961,38099,581,615,34023
no,2021-11-03T03:07:26.023Z,64562,27371,615,615,34023
yes,2021-11-03T03:07:26.023Z,93702,38099,615,615,34023
no,2021-11-03T04:54:37.99Z,64562,27371,615,615,34023
yes,2021-11-03T04:54:37.99Z,93702,38099,615,615,34023
no,2021-11-03T13:56:55.68Z,64562,27371,615,615,34023
yes,2021-11-03T13:56:55.68Z,93702,38099,615,615,34023
