CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,458,34025
yes,2021-11-01T12:58:08.450Z,0,0,0,458,34025
no,2021-11-02T16:59:07.517Z,0,0,0,458,34025
yes,2021-11-02T16:59:07.517Z,0,0,0,458,34025
no,2021-11-03T00:02:24.297Z,0,0,0,458,34025
yes,2021-11-03T00:02:24.297Z,0,0,0,458,34025
no,2021-11-03T01:02:58.467Z,24906,0,0,458,34025
yes,2021-11-03T01:02:58.467Z,41730,0,0,458,34025
no,2021-11-03T01:06:00.563Z,29410,0,0,458,34025
yes,2021-11-03T01:06:00.563Z,49451,0,0,458,34025
no,2021-11-03T01:14:06.040Z,29410,0,113,458,34025
yes,2021-11-03T01:14:06.040Z,49451,0,113,458,34025
no,2021-11-03T01:15:06.683Z,36408,0,174,458,34025
yes,2021-11-03T01:15:06.683Z,61725,0,174,458,34025
no,2021-11-03T01:26:13.857Z,44596,0,250,458,34025
yes,2021-11-03T01:26:13.857Z,76585,0,250,458,34025
no,2021-11-03T01:35:19.243Z,52392,0,311,458,34025
yes,2021-11-03T01:35:19.243Z,89290,0,311,458,34025
no,2021-11-03T01:46:29.143Z,58118,0,360,458,34025
yes,2021-11-03T01:46:29.143Z,98907,0,360,458,34025
no,2021-11-03T01:54:34.413Z,64120,0,405,458,34025
yes,2021-11-03T01:54:34.413Z,108787,0,405,458,34025
no,2021-11-03T02:15:50.280Z,66779,0,426,458,34025
yes,2021-11-03T02:15:50.280Z,112839,0,426,458,34025
no,2021-11-03T03:26:37.840Z,69902,0,445,458,34025
yes,2021-11-03T03:26:37.840Z,117567,0,445,458,34025
no,2021-11-03T04:54:37.99Z,69902,0,445,458,34025
yes,2021-11-03T04:54:37.99Z,117567,0,445,458,34025
no,2021-11-03T13:56:55.68Z,69902,0,445,458,34025
yes,2021-11-03T13:56:55.68Z,117567,0,445,458,34025
