CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,119,34037
yes,2021-11-01T12:58:08.450Z,0,0,0,119,34037
no,2021-11-02T16:59:07.517Z,0,0,0,119,34037
yes,2021-11-02T16:59:07.517Z,0,0,0,119,34037
no,2021-11-03T00:02:24.297Z,0,0,0,119,34037
yes,2021-11-03T00:02:24.297Z,0,0,0,119,34037
no,2021-11-03T03:40:50.757Z,1038,0,1,119,34037
yes,2021-11-03T03:40:50.757Z,2310,0,1,119,34037
no,2021-11-03T04:48:35.333Z,3105,0,119,119,34037
yes,2021-11-03T04:48:35.333Z,6861,0,119,119,34037
no,2021-11-03T04:54:37.99Z,3105,0,119,119,34037
yes,2021-11-03T04:54:37.99Z,6861,0,119,119,34037
no,2021-11-03T05:34:57.363Z,12348,0,119,119,34037
yes,2021-11-03T05:34:57.363Z,29316,0,119,119,34037
no,2021-11-03T06:16:17.653Z,15451,0,119,119,34037
yes,2021-11-03T06:16:17.653Z,36177,0,119,119,34037
no,2021-11-03T13:56:55.68Z,15451,0,119,119,34037
yes,2021-11-03T13:56:55.68Z,36177,0,119,119,34037
