CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2021-11-01T12:58:08.450Z,0,0,0,89,34041
yes,2021-11-01T12:58:08.450Z,0,0,0,89,34041
no,2021-11-02T16:59:07.517Z,0,0,0,89,34041
yes,2021-11-02T16:59:07.517Z,0,0,0,89,34041
no,2021-11-03T00:02:24.297Z,0,0,0,89,34041
yes,2021-11-03T00:02:24.297Z,0,0,0,89,34041
no,2021-11-03T02:13:49Z,1650,1650,0,89,34041
yes,2021-11-03T02:13:49Z,3015,3015,0,89,34041
no,2021-11-03T03:36:46.897Z,7649,1650,75,89,34041
yes,2021-11-03T03:36:46.897Z,12510,3015,75,89,34041
no,2021-11-03T04:32:24.930Z,12457,1650,89,89,34041
yes,2021-11-03T04:32:24.930Z,20316,3015,89,89,34041
no,2021-11-03T04:54:37.99Z,12457,1650,89,89,34041
yes,2021-11-03T04:54:37.99Z,20316,3015,89,89,34041
no,2021-11-03T13:56:55.68Z,12457,1650,89,89,34041
yes,2021-11-03T13:56:55.68Z,20316,3015,89,89,34041
