CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
no-3,2021-11-01T12:58:08.450Z,0,0,0
yes-2,2021-11-01T12:58:08.450Z,0,0,0
no-3,2021-11-02T16:59:07.517Z,0,0,0
yes-2,2021-11-02T16:59:07.517Z,0,0,0
no-3,2021-11-03T00:02:24.297Z,0,0,0
yes-2,2021-11-03T00:02:24.297Z,0,0,0
no-3,2021-11-03T00:14:28.853Z,5609,0,0
yes-2,2021-11-03T00:14:28.853Z,12924,0,0
no-3,2021-11-03T00:24:34.587Z,9966,0,0
yes-2,2021-11-03T00:24:34.587Z,21504,0,0
no-3,2021-11-03T00:35:42.063Z,12764,0,0
yes-2,2021-11-03T00:35:42.063Z,26111,0,0
no-3,2021-11-03T00:37:43.010Z,16133,0,0
yes-2,2021-11-03T00:37:43.010Z,32601,0,0
no-3,2021-11-03T00:38:43.713Z,25725,9592,0
yes-2,2021-11-03T00:38:43.713Z,52737,20136,0
no-3,2021-11-03T00:39:44.343Z,32694,9592,0
yes-2,2021-11-03T00:39:44.343Z,65949,20136,0
no-3,2021-11-03T00:48:49.563Z,35382,9592,0
yes-2,2021-11-03T00:48:49.563Z,71638,20136,0
no-3,2021-11-03T00:49:50.223Z,51190,9592,0
yes-2,2021-11-03T00:49:50.223Z,100941,20136,0
no-3,2021-11-03T00:50:50.850Z,55262,9592,0
yes-2,2021-11-03T00:50:50.850Z,108072,20136,0
no-3,2021-11-03T00:54:53.410Z,65279,9592,0
yes-2,2021-11-03T00:54:53.410Z,125481,20136,0
no-3,2021-11-03T00:55:54.060Z,66077,9592,0
yes-2,2021-11-03T00:55:54.060Z,127009,20136,0
no-3,2021-11-03T00:57:55.273Z,66320,0,0
yes-2,2021-11-03T00:57:55.273Z,127776,0,0
no-3,2021-11-03T00:59:56.573Z,71448,0,0
yes-2,2021-11-03T00:59:56.573Z,137037,0,0
no-3,2021-11-03T01:02:58.467Z,96354,0,0
yes-2,2021-11-03T01:02:58.467Z,178767,0,0
no-3,2021-11-03T01:04:59.887Z,97540,0,0
yes-2,2021-11-03T01:04:59.887Z,180690,0,0
no-3,2021-11-03T01:06:00.563Z,131776,2361,0
yes-2,2021-11-03T01:06:00.563Z,231221,4711,0
no-3,2021-11-03T01:08:01.903Z,136853,2361,0
yes-2,2021-11-03T01:08:01.903Z,240135,4711,0
no-3,2021-11-03T01:09:02.697Z,137903,2361,0
yes-2,2021-11-03T01:09:02.697Z,241807,4711,0
no-3,2021-11-03T01:14:06.040Z,139080,2361,0
yes-2,2021-11-03T01:14:06.040Z,243924,4711,0
no-3,2021-11-03T01:15:06.683Z,147685,2361,0
yes-2,2021-11-03T01:15:06.683Z,259898,4711,0
no-3,2021-11-03T01:17:08.007Z,148430,2361,0
yes-2,2021-11-03T01:17:08.007Z,261291,4711,0
no-3,2021-11-03T01:18:08.653Z,149842,2361,0
yes-2,2021-11-03T01:18:08.653Z,263526,4711,0
no-3,2021-11-03T01:19:09.283Z,162814,2361,0
yes-2,2021-11-03T01:19:09.283Z,287136,4711,0
no-3,2021-11-03T01:20:09.920Z,163450,2361,0
yes-2,2021-11-03T01:20:09.920Z,288336,4711,0
no-3,2021-11-03T01:21:10.593Z,170429,2361,0
yes-2,2021-11-03T01:21:10.593Z,301873,4711,0
no-3,2021-11-03T01:25:13.233Z,175607,2361,0
yes-2,2021-11-03T01:25:13.233Z,311909,4711,0
no-3,2021-11-03T01:26:13.857Z,186661,2361,0
yes-2,2021-11-03T01:26:13.857Z,332685,4711,0
no-3,2021-11-03T01:29:15.697Z,193847,2361,0
yes-2,2021-11-03T01:29:15.697Z,345467,4711,0
no-3,2021-11-03T01:31:17.037Z,196724,2361,0
yes-2,2021-11-03T01:31:17.037Z,350127,4711,0
no-3,2021-11-03T01:32:17.763Z,201928,2361,0
yes-2,2021-11-03T01:32:17.763Z,360497,4711,0
no-3,2021-11-03T01:34:18.590Z,202182,2361,0
yes-2,2021-11-03T01:34:18.590Z,360893,4711,0
no-3,2021-11-03T01:35:19.243Z,221529,2361,0
yes-2,2021-11-03T01:35:19.243Z,391069,4711,0
no-3,2021-11-03T01:36:19.870Z,227197,2361,0
yes-2,2021-11-03T01:36:19.870Z,401707,4711,0
no-3,2021-11-03T01:37:20.490Z,231166,2361,0
yes-2,2021-11-03T01:37:20.490Z,408483,4711,0
no-3,2021-11-03T01:39:21.720Z,234848,2361,0
yes-2,2021-11-03T01:39:21.720Z,416778,4711,0
no-3,2021-11-03T01:43:24.240Z,237008,2361,0
yes-2,2021-11-03T01:43:24.240Z,420916,4711,0
no-3,2021-11-03T01:44:24.863Z,240221,2361,0
yes-2,2021-11-03T01:44:24.863Z,426296,4711,0
no-3,2021-11-03T01:46:29.143Z,245947,2361,0
yes-2,2021-11-03T01:46:29.143Z,435913,4711,0
