CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,15,51005
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,15,51005
youngking,2021-11-01T12:58:11.037Z,0,0,0,15,51005
blandingp,2021-11-02T18:43:09.683Z,0,0,0,15,51005
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,15,51005
youngking,2021-11-02T18:43:09.683Z,0,0,0,15,51005
blandingp,2021-11-02T23:00:02.290Z,0,0,0,15,51005
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,15,51005
youngking,2021-11-02T23:00:02.290Z,0,0,0,15,51005
blandingp,2021-11-02T23:56:39.610Z,6,0,4,15,51005
mcauliffet,2021-11-02T23:56:39.610Z,210,0,4,15,51005
youngking,2021-11-02T23:56:39.610Z,900,0,4,15,51005
blandingp,2021-11-03T00:04:47.213Z,8,0,6,15,51005
mcauliffet,2021-11-03T00:04:47.213Z,344,0,6,15,51005
youngking,2021-11-03T00:04:47.213Z,1966,0,6,15,51005
blandingp,2021-11-03T00:14:55.703Z,10,0,9,15,51005
mcauliffet,2021-11-03T00:14:55.703Z,552,0,9,15,51005
youngking,2021-11-03T00:14:55.703Z,2767,0,9,15,51005
blandingp,2021-11-03T00:25:05.690Z,13,0,11,15,51005
mcauliffet,2021-11-03T00:25:05.690Z,886,0,11,15,51005
youngking,2021-11-03T00:25:05.690Z,3759,0,11,15,51005
blandingp,2021-11-03T00:34:12.177Z,18,0,12,15,51005
mcauliffet,2021-11-03T00:34:12.177Z,1061,0,12,15,51005
youngking,2021-11-03T00:34:12.177Z,4033,0,12,15,51005
blandingp,2021-11-03T01:44:09.337Z,26,8,14,15,51005
mcauliffet,2021-11-03T01:44:09.337Z,1516,455,14,15,51005
youngking,2021-11-03T01:44:09.337Z,4535,502,14,15,51005
blandingp,2021-11-03T04:38:00.557Z,26,8,14,15,51005
mcauliffet,2021-11-03T04:38:00.557Z,1516,455,14,15,51005
youngking,2021-11-03T04:38:00.557Z,4535,502,14,15,51005
