CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,14,51009
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,14,51009
youngking,2021-11-01T12:58:11.037Z,0,0,0,14,51009
blandingp,2021-11-02T18:43:09.683Z,0,0,0,14,51009
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,14,51009
youngking,2021-11-02T18:43:09.683Z,0,0,0,14,51009
blandingp,2021-11-02T23:00:02.290Z,0,0,0,14,51009
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,14,51009
youngking,2021-11-02T23:00:02.290Z,0,0,0,14,51009
blandingp,2021-11-02T23:14:08.723Z,1,0,1,14,51009
mcauliffet,2021-11-02T23:14:08.723Z,81,0,1,14,51009
youngking,2021-11-02T23:14:08.723Z,326,0,1,14,51009
blandingp,2021-11-02T23:44:29.777Z,6,0,3,14,51009
mcauliffet,2021-11-02T23:44:29.777Z,214,0,3,14,51009
youngking,2021-11-02T23:44:29.777Z,1026,0,3,14,51009
blandingp,2021-11-02T23:53:37.083Z,17,0,5,14,51009
mcauliffet,2021-11-02T23:53:37.083Z,651,0,5,14,51009
youngking,2021-11-02T23:53:37.083Z,2925,0,5,14,51009
blandingp,2021-11-03T00:04:47.213Z,33,0,7,14,51009
mcauliffet,2021-11-03T00:04:47.213Z,1425,0,7,14,51009
youngking,2021-11-03T00:04:47.213Z,4874,0,7,14,51009
blandingp,2021-11-03T00:13:54.950Z,36,0,8,14,51009
mcauliffet,2021-11-03T00:13:54.950Z,1701,0,8,14,51009
youngking,2021-11-03T00:13:54.950Z,5265,0,8,14,51009
blandingp,2021-11-03T00:25:05.690Z,37,0,9,14,51009
mcauliffet,2021-11-03T00:25:05.690Z,1808,0,9,14,51009
youngking,2021-11-03T00:25:05.690Z,5775,0,9,14,51009
blandingp,2021-11-03T00:34:12.177Z,45,0,10,14,51009
mcauliffet,2021-11-03T00:34:12.177Z,2135,0,10,14,51009
youngking,2021-11-03T00:34:12.177Z,6877,0,10,14,51009
blandingp,2021-11-03T02:04:23.423Z,52,0,11,14,51009
mcauliffet,2021-11-03T02:04:23.423Z,2258,0,11,14,51009
youngking,2021-11-03T02:04:23.423Z,7358,0,11,14,51009
blandingp,2021-11-03T03:04:04.330Z,59,7,12,14,51009
mcauliffet,2021-11-03T03:04:04.330Z,3294,1036,12,14,51009
youngking,2021-11-03T03:04:04.330Z,9354,1996,12,14,51009
blandingp,2021-11-03T03:14:11.757Z,70,18,13,14,51009
mcauliffet,2021-11-03T03:14:11.757Z,3888,1630,13,14,51009
youngking,2021-11-03T03:14:11.757Z,9724,2366,13,14,51009
blandingp,2021-11-03T04:38:00.557Z,70,18,13,14,51009
mcauliffet,2021-11-03T04:38:00.557Z,3888,1630,13,14,51009
youngking,2021-11-03T04:38:00.557Z,9724,2366,13,14,51009
