CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,13,51023
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,13,51023
youngking,2021-11-01T12:58:11.037Z,0,0,0,13,51023
blandingp,2021-11-02T18:43:09.683Z,0,0,0,13,51023
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,13,51023
youngking,2021-11-02T18:43:09.683Z,0,0,0,13,51023
blandingp,2021-11-02T23:00:02.290Z,0,0,0,13,51023
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,13,51023
youngking,2021-11-02T23:00:02.290Z,0,0,0,13,51023
blandingp,2021-11-02T23:46:31.907Z,17,0,3,13,51023
mcauliffet,2021-11-02T23:46:31.907Z,524,0,3,13,51023
youngking,2021-11-02T23:46:31.907Z,2783,0,3,13,51023
blandingp,2021-11-02T23:53:37.083Z,18,0,4,13,51023
mcauliffet,2021-11-02T23:53:37.083Z,668,0,4,13,51023
youngking,2021-11-02T23:53:37.083Z,3454,0,4,13,51023
blandingp,2021-11-03T00:04:47.213Z,45,17,9,13,51023
mcauliffet,2021-11-03T00:04:47.213Z,3341,1965,9,13,51023
youngking,2021-11-03T00:04:47.213Z,10154,3617,9,13,51023
blandingp,2021-11-03T00:13:54.950Z,58,17,11,13,51023
mcauliffet,2021-11-03T00:13:54.950Z,3816,1965,11,13,51023
youngking,2021-11-03T00:13:54.950Z,12104,3617,11,13,51023
blandingp,2021-11-03T00:41:18.277Z,58,0,12,13,51023
mcauliffet,2021-11-03T00:41:18.277Z,4242,0,12,13,51023
youngking,2021-11-03T00:41:18.277Z,12104,0,12,13,51023
blandingp,2021-11-03T00:56:30.213Z,61,17,12,13,51023
mcauliffet,2021-11-03T00:56:30.213Z,3973,1965,12,13,51023
youngking,2021-11-03T00:56:30.213Z,13040,3617,12,13,51023
blandingp,2021-11-03T01:26:57.477Z,61,0,12,13,51023
mcauliffet,2021-11-03T01:26:57.477Z,4242,0,12,13,51023
youngking,2021-11-03T01:26:57.477Z,13040,0,12,13,51023
blandingp,2021-11-03T02:30:42.050Z,61,0,12,13,51023
mcauliffet,2021-11-03T02:30:42.050Z,3973,0,12,13,51023
youngking,2021-11-03T02:30:42.050Z,13040,0,12,13,51023
blandingp,2021-11-03T04:38:00.557Z,61,0,12,13,51023
mcauliffet,2021-11-03T04:38:00.557Z,3973,0,12,13,51023
youngking,2021-11-03T04:38:00.557Z,13040,0,12,13,51023
