CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,20,51035
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,20,51035
youngking,2021-11-01T12:58:11.037Z,0,0,0,20,51035
blandingp,2021-11-02T18:43:09.683Z,0,0,0,20,51035
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,20,51035
youngking,2021-11-02T18:43:09.683Z,0,0,0,20,51035
blandingp,2021-11-02T23:00:02.290Z,0,0,0,20,51035
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,20,51035
youngking,2021-11-02T23:00:02.290Z,0,0,0,20,51035
blandingp,2021-11-02T23:24:15.483Z,5,0,3,20,51035
mcauliffet,2021-11-02T23:24:15.483Z,214,0,3,20,51035
youngking,2021-11-02T23:24:15.483Z,1584,0,3,20,51035
blandingp,2021-11-02T23:33:21.983Z,7,0,6,20,51035
mcauliffet,2021-11-02T23:33:21.983Z,442,0,6,20,51035
youngking,2021-11-02T23:33:21.983Z,2988,0,6,20,51035
blandingp,2021-11-02T23:44:29.777Z,8,0,8,20,51035
mcauliffet,2021-11-02T23:44:29.777Z,534,0,8,20,51035
youngking,2021-11-02T23:44:29.777Z,3798,0,8,20,51035
blandingp,2021-11-02T23:53:37.083Z,21,0,12,20,51035
mcauliffet,2021-11-02T23:53:37.083Z,794,0,12,20,51035
youngking,2021-11-02T23:53:37.083Z,5582,0,12,20,51035
blandingp,2021-11-03T00:04:47.213Z,28,0,14,20,51035
mcauliffet,2021-11-03T00:04:47.213Z,918,0,14,20,51035
youngking,2021-11-03T00:04:47.213Z,6627,0,14,20,51035
blandingp,2021-11-03T00:13:54.950Z,35,7,15,20,51035
mcauliffet,2021-11-03T00:13:54.950Z,1266,348,15,20,51035
youngking,2021-11-03T00:13:54.950Z,6989,362,15,20,51035
blandingp,2021-11-03T00:25:05.690Z,43,12,17,20,51035
mcauliffet,2021-11-03T00:25:05.690Z,1768,773,17,20,51035
youngking,2021-11-03T00:25:05.690Z,9047,1687,17,20,51035
blandingp,2021-11-03T00:34:12.177Z,43,12,18,20,51035
mcauliffet,2021-11-03T00:34:12.177Z,1823,773,18,20,51035
youngking,2021-11-03T00:34:12.177Z,9446,1687,18,20,51035
blandingp,2021-11-03T01:14:48.967Z,43,12,19,20,51035
mcauliffet,2021-11-03T01:14:48.967Z,1899,773,19,20,51035
youngking,2021-11-03T01:14:48.967Z,9852,1687,19,20,51035
blandingp,2021-11-03T04:38:00.557Z,43,12,19,20,51035
mcauliffet,2021-11-03T04:38:00.557Z,1899,773,19,20,51035
youngking,2021-11-03T04:38:00.557Z,9852,1687,19,20,51035
