CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,12,51540
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,12,51540
youngking,2021-11-01T12:58:11.037Z,0,0,0,12,51540
blandingp,2021-11-02T18:43:09.683Z,0,0,0,12,51540
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,12,51540
youngking,2021-11-02T18:43:09.683Z,0,0,0,12,51540
blandingp,2021-11-02T23:00:02.290Z,0,0,0,12,51540
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,12,51540
youngking,2021-11-02T23:00:02.290Z,0,0,0,12,51540
blandingp,2021-11-02T23:51:35.403Z,1,0,1,12,51540
mcauliffet,2021-11-02T23:51:35.403Z,545,0,1,12,51540
youngking,2021-11-02T23:51:35.403Z,90,0,1,12,51540
blandingp,2021-11-03T00:16:58.267Z,26,0,3,12,51540
mcauliffet,2021-11-03T00:16:58.267Z,2251,0,3,12,51540
youngking,2021-11-03T00:16:58.267Z,448,0,3,12,51540
blandingp,2021-11-03T00:35:12.890Z,42,0,4,12,51540
mcauliffet,2021-11-03T00:35:12.890Z,3293,0,4,12,51540
youngking,2021-11-03T00:35:12.890Z,703,0,4,12,51540
blandingp,2021-11-03T00:43:20.307Z,65,0,5,12,51540
mcauliffet,2021-11-03T00:43:20.307Z,4481,0,5,12,51540
youngking,2021-11-03T00:43:20.307Z,1074,0,5,12,51540
blandingp,2021-11-03T00:54:28.790Z,82,0,6,12,51540
mcauliffet,2021-11-03T00:54:28.790Z,5405,0,6,12,51540
youngking,2021-11-03T00:54:28.790Z,1227,0,6,12,51540
blandingp,2021-11-03T00:55:29.530Z,95,0,7,12,51540
mcauliffet,2021-11-03T00:55:29.530Z,6355,0,7,12,51540
youngking,2021-11-03T00:55:29.530Z,1379,0,7,12,51540
blandingp,2021-11-03T01:15:50.133Z,101,0,8,12,51540
mcauliffet,2021-11-03T01:15:50.133Z,7033,0,8,12,51540
youngking,2021-11-03T01:15:50.133Z,1637,0,8,12,51540
blandingp,2021-11-03T01:55:17.773Z,112,0,9,12,51540
mcauliffet,2021-11-03T01:55:17.773Z,8322,0,9,12,51540
youngking,2021-11-03T01:55:17.773Z,2074,0,9,12,51540
blandingp,2021-11-03T02:04:23.423Z,140,28,10,12,51540
mcauliffet,2021-11-03T02:04:23.423Z,10181,1859,10,12,51540
youngking,2021-11-03T02:04:23.423Z,2254,180,10,12,51540
blandingp,2021-11-03T02:14:30.530Z,167,55,11,12,51540
mcauliffet,2021-11-03T02:14:30.530Z,14191,5869,11,12,51540
youngking,2021-11-03T02:14:30.530Z,2746,672,11,12,51540
blandingp,2021-11-03T04:38:00.557Z,167,55,11,12,51540
mcauliffet,2021-11-03T04:38:00.557Z,14191,5869,11,12,51540
youngking,2021-11-03T04:38:00.557Z,2746,672,11,12,51540
