CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,8,51049
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,8,51049
youngking,2021-11-01T12:58:11.037Z,0,0,0,8,51049
blandingp,2021-11-02T18:43:09.683Z,0,0,0,8,51049
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,8,51049
youngking,2021-11-02T18:43:09.683Z,0,0,0,8,51049
blandingp,2021-11-02T23:00:02.290Z,0,0,0,8,51049
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,8,51049
youngking,2021-11-02T23:00:02.290Z,0,0,0,8,51049
blandingp,2021-11-02T23:24:15.483Z,3,0,1,8,51049
mcauliffet,2021-11-02T23:24:15.483Z,141,0,1,8,51049
youngking,2021-11-02T23:24:15.483Z,450,0,1,8,51049
blandingp,2021-11-02T23:33:21.983Z,7,0,2,8,51049
mcauliffet,2021-11-02T23:33:21.983Z,358,0,2,8,51049
youngking,2021-11-02T23:33:21.983Z,811,0,2,8,51049
blandingp,2021-11-02T23:53:37.083Z,20,3,6,8,51049
mcauliffet,2021-11-02T23:53:37.083Z,1371,444,6,8,51049
youngking,2021-11-02T23:53:37.083Z,2601,491,6,8,51049
blandingp,2021-11-03T01:03:39.063Z,27,10,7,8,51049
mcauliffet,2021-11-03T01:03:39.063Z,1512,585,7,8,51049
youngking,2021-11-03T01:03:39.063Z,2677,567,7,8,51049
blandingp,2021-11-03T04:38:00.557Z,27,10,7,8,51049
mcauliffet,2021-11-03T04:38:00.557Z,1512,585,7,8,51049
youngking,2021-11-03T04:38:00.557Z,2677,567,7,8,51049
