CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,23,51061
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,23,51061
youngking,2021-11-01T12:58:11.037Z,0,0,0,23,51061
blandingp,2021-11-02T18:43:09.683Z,0,0,0,23,51061
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,23,51061
youngking,2021-11-02T18:43:09.683Z,0,0,0,23,51061
blandingp,2021-11-02T23:00:02.290Z,0,0,0,23,51061
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,23,51061
youngking,2021-11-02T23:00:02.290Z,0,0,0,23,51061
blandingp,2021-11-02T23:27:17.730Z,10,0,3,23,51061
mcauliffet,2021-11-02T23:27:17.730Z,1020,0,3,23,51061
youngking,2021-11-02T23:27:17.730Z,2054,0,3,23,51061
blandingp,2021-11-02T23:33:21.983Z,45,0,10,23,51061
mcauliffet,2021-11-02T23:33:21.983Z,2918,0,10,23,51061
youngking,2021-11-02T23:33:21.983Z,6688,0,10,23,51061
blandingp,2021-11-02T23:44:29.777Z,77,0,16,23,51061
mcauliffet,2021-11-02T23:44:29.777Z,4763,0,16,23,51061
youngking,2021-11-02T23:44:29.777Z,11922,0,16,23,51061
blandingp,2021-11-02T23:53:37.083Z,87,0,17,23,51061
mcauliffet,2021-11-02T23:53:37.083Z,5065,0,17,23,51061
youngking,2021-11-02T23:53:37.083Z,12795,0,17,23,51061
blandingp,2021-11-03T00:04:47.213Z,96,0,19,23,51061
mcauliffet,2021-11-03T00:04:47.213Z,5580,0,19,23,51061
youngking,2021-11-03T00:04:47.213Z,14354,0,19,23,51061
blandingp,2021-11-03T00:15:57.147Z,95,0,20,23,51061
mcauliffet,2021-11-03T00:15:57.147Z,5812,0,20,23,51061
youngking,2021-11-03T00:15:57.147Z,15046,0,20,23,51061
blandingp,2021-11-03T03:15:12.450Z,147,51,21,23,51061
mcauliffet,2021-11-03T03:15:12.450Z,11265,5685,21,23,51061
youngking,2021-11-03T03:15:12.450Z,21513,7159,21,23,51061
blandingp,2021-11-03T03:34:22.870Z,150,51,22,23,51061
mcauliffet,2021-11-03T03:34:22.870Z,11499,5685,22,23,51061
youngking,2021-11-03T03:34:22.870Z,22205,7159,22,23,51061
blandingp,2021-11-03T04:38:00.557Z,150,51,22,23,51061
mcauliffet,2021-11-03T04:38:00.557Z,11499,5685,22,23,51061
youngking,2021-11-03T04:38:00.557Z,22205,7159,22,23,51061
