CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,14,51073
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,14,51073
youngking,2021-11-01T12:58:11.037Z,0,0,0,14,51073
blandingp,2021-11-02T18:43:09.683Z,0,0,0,14,51073
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,14,51073
youngking,2021-11-02T18:43:09.683Z,0,0,0,14,51073
blandingp,2021-11-02T23:00:02.290Z,0,0,0,14,51073
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,14,51073
youngking,2021-11-02T23:00:02.290Z,0,0,0,14,51073
blandingp,2021-11-02T23:27:17.730Z,10,0,1,14,51073
mcauliffet,2021-11-02T23:27:17.730Z,293,0,1,14,51073
youngking,2021-11-02T23:27:17.730Z,1003,0,1,14,51073
blandingp,2021-11-02T23:37:24.843Z,20,0,2,14,51073
mcauliffet,2021-11-02T23:37:24.843Z,817,0,2,14,51073
youngking,2021-11-02T23:37:24.843Z,1810,0,2,14,51073
blandingp,2021-11-02T23:40:26.937Z,40,0,3,14,51073
mcauliffet,2021-11-02T23:40:26.937Z,1114,0,3,14,51073
youngking,2021-11-02T23:40:26.937Z,3276,0,3,14,51073
blandingp,2021-11-02T23:55:38.513Z,36,0,5,14,51073
mcauliffet,2021-11-02T23:55:38.513Z,1237,0,5,14,51073
youngking,2021-11-02T23:55:38.513Z,4297,0,5,14,51073
blandingp,2021-11-03T00:04:47.213Z,52,0,8,14,51073
mcauliffet,2021-11-03T00:04:47.213Z,2110,0,8,14,51073
youngking,2021-11-03T00:04:47.213Z,7814,0,8,14,51073
blandingp,2021-11-03T00:13:54.950Z,86,26,12,14,51073
mcauliffet,2021-11-03T00:13:54.950Z,4496,2035,12,14,51073
youngking,2021-11-03T00:13:54.950Z,11763,2766,12,14,51073
blandingp,2021-11-03T00:25:05.690Z,88,26,13,14,51073
mcauliffet,2021-11-03T00:25:05.690Z,4696,2035,13,14,51073
youngking,2021-11-03T00:25:05.690Z,12563,2766,13,14,51073
blandingp,2021-11-03T04:38:00.557Z,88,26,13,14,51073
mcauliffet,2021-11-03T04:38:00.557Z,4696,2035,13,14,51073
youngking,2021-11-03T04:38:00.557Z,12563,2766,13,14,51073
