CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,13,51075
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,13,51075
youngking,2021-11-01T12:58:11.037Z,0,0,0,13,51075
blandingp,2021-11-02T18:43:09.683Z,0,0,0,13,51075
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,13,51075
youngking,2021-11-02T18:43:09.683Z,0,0,0,13,51075
blandingp,2021-11-02T23:00:02.290Z,0,0,0,13,51075
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,13,51075
youngking,2021-11-02T23:00:02.290Z,0,0,0,13,51075
blandingp,2021-11-03T00:22:03.030Z,5,0,6,13,51075
mcauliffet,2021-11-03T00:22:03.030Z,145,0,6,13,51075
youngking,2021-11-03T00:22:03.030Z,449,0,6,13,51075
blandingp,2021-11-03T00:26:06.467Z,20,0,7,13,51075
mcauliffet,2021-11-03T00:26:06.467Z,598,0,7,13,51075
youngking,2021-11-03T00:26:06.467Z,3493,0,7,13,51075
blandingp,2021-11-03T00:56:30.213Z,20,0,6,13,51075
mcauliffet,2021-11-03T00:56:30.213Z,1303,0,6,13,51075
youngking,2021-11-03T00:56:30.213Z,3192,0,6,13,51075
blandingp,2021-11-03T00:59:36.230Z,39,0,9,13,51075
mcauliffet,2021-11-03T00:59:36.230Z,3170,0,9,13,51075
youngking,2021-11-03T00:59:36.230Z,7321,0,9,13,51075
blandingp,2021-11-03T01:14:48.967Z,42,19,9,13,51075
mcauliffet,2021-11-03T01:14:48.967Z,4172,2570,9,13,51075
youngking,2021-11-03T01:14:48.967Z,7797,3828,9,13,51075
blandingp,2021-11-03T01:40:05.557Z,48,0,11,13,51075
mcauliffet,2021-11-03T01:40:05.557Z,3806,0,11,13,51075
youngking,2021-11-03T01:40:05.557Z,8866,0,11,13,51075
blandingp,2021-11-03T02:25:38.633Z,50,19,10,13,51075
mcauliffet,2021-11-03T02:25:38.633Z,4519,2570,10,13,51075
youngking,2021-11-03T02:25:38.633Z,8744,3828,10,13,51075
blandingp,2021-11-03T02:34:45.327Z,51,19,11,13,51075
mcauliffet,2021-11-03T02:34:45.327Z,4808,2570,11,13,51075
youngking,2021-11-03T02:34:45.327Z,9342,3828,11,13,51075
blandingp,2021-11-03T02:54:56.717Z,51,19,12,13,51075
mcauliffet,2021-11-03T02:54:56.717Z,4871,2570,12,13,51075
youngking,2021-11-03T02:54:56.717Z,9563,3828,12,13,51075
blandingp,2021-11-03T04:38:00.557Z,51,19,12,13,51075
mcauliffet,2021-11-03T04:38:00.557Z,4871,2570,12,13,51075
youngking,2021-11-03T04:38:00.557Z,9563,3828,12,13,51075
