CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,12,51081
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,12,51081
youngking,2021-11-01T12:58:11.037Z,0,0,0,12,51081
blandingp,2021-11-02T18:43:09.683Z,0,0,0,12,51081
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,12,51081
youngking,2021-11-02T18:43:09.683Z,0,0,0,12,51081
blandingp,2021-11-02T23:00:02.290Z,0,0,0,12,51081
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,12,51081
youngking,2021-11-02T23:00:02.290Z,0,0,0,12,51081
blandingp,2021-11-02T23:44:29.777Z,2,0,1,12,51081
mcauliffet,2021-11-02T23:44:29.777Z,137,0,1,12,51081
youngking,2021-11-02T23:44:29.777Z,0,0,1,12,51081
blandingp,2021-11-02T23:53:37.083Z,3,0,4,12,51081
mcauliffet,2021-11-02T23:53:37.083Z,640,0,4,12,51081
youngking,2021-11-02T23:53:37.083Z,556,0,4,12,51081
blandingp,2021-11-03T00:04:47.213Z,3,0,6,12,51081
mcauliffet,2021-11-03T00:04:47.213Z,1087,413,6,12,51081
youngking,2021-11-03T00:04:47.213Z,1023,372,6,12,51081
blandingp,2021-11-03T00:13:54.950Z,8,0,8,12,51081
mcauliffet,2021-11-03T00:13:54.950Z,1469,413,8,12,51081
youngking,2021-11-03T00:13:54.950Z,1353,372,8,12,51081
blandingp,2021-11-03T00:25:05.690Z,8,0,9,12,51081
mcauliffet,2021-11-03T00:25:05.690Z,1524,413,9,12,51081
youngking,2021-11-03T00:25:05.690Z,1507,372,9,12,51081
blandingp,2021-11-03T00:34:12.177Z,10,0,10,12,51081
mcauliffet,2021-11-03T00:34:12.177Z,1684,413,10,12,51081
youngking,2021-11-03T00:34:12.177Z,1647,372,10,12,51081
blandingp,2021-11-03T00:43:20.307Z,12,2,11,12,51081
mcauliffet,2021-11-03T00:43:20.307Z,1912,641,11,12,51081
youngking,2021-11-03T00:43:20.307Z,1709,434,11,12,51081
blandingp,2021-11-03T04:38:00.557Z,12,2,11,12,51081
mcauliffet,2021-11-03T04:38:00.557Z,1912,641,11,12,51081
youngking,2021-11-03T04:38:00.557Z,1709,434,11,12,51081
