CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,11,51660
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,11,51660
youngking,2021-11-01T12:58:11.037Z,0,0,0,11,51660
blandingp,2021-11-02T18:43:09.683Z,0,0,0,11,51660
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,11,51660
youngking,2021-11-02T18:43:09.683Z,0,0,0,11,51660
blandingp,2021-11-02T23:00:02.290Z,0,0,0,11,51660
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,11,51660
youngking,2021-11-02T23:00:02.290Z,0,0,0,11,51660
blandingp,2021-11-02T23:57:40.297Z,86,0,7,11,51660
mcauliffet,2021-11-02T23:57:40.297Z,3310,0,7,11,51660
youngking,2021-11-02T23:57:40.297Z,2358,0,7,11,51660
blandingp,2021-11-03T00:39:16.920Z,127,0,10,11,51660
mcauliffet,2021-11-03T00:39:16.920Z,6749,0,10,11,51660
youngking,2021-11-03T00:39:16.920Z,4369,0,10,11,51660
blandingp,2021-11-03T04:38:00.557Z,127,0,10,11,51660
mcauliffet,2021-11-03T04:38:00.557Z,6749,0,10,11,51660
youngking,2021-11-03T04:38:00.557Z,4369,0,10,11,51660
