CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,27,51089
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,27,51089
youngking,2021-11-01T12:58:11.037Z,0,0,0,27,51089
blandingp,2021-11-02T18:43:09.683Z,0,0,0,27,51089
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,27,51089
youngking,2021-11-02T18:43:09.683Z,0,0,0,27,51089
blandingp,2021-11-02T23:00:02.290Z,0,0,0,27,51089
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,27,51089
youngking,2021-11-02T23:00:02.290Z,0,0,0,27,51089
blandingp,2021-11-02T23:26:16.893Z,3,0,2,27,51089
mcauliffet,2021-11-02T23:26:16.893Z,143,0,2,27,51089
youngking,2021-11-02T23:26:16.893Z,446,0,2,27,51089
blandingp,2021-11-02T23:33:21.983Z,8,0,5,27,51089
mcauliffet,2021-11-02T23:33:21.983Z,479,0,5,27,51089
youngking,2021-11-02T23:33:21.983Z,1329,0,5,27,51089
blandingp,2021-11-02T23:44:29.777Z,14,0,8,27,51089
mcauliffet,2021-11-02T23:44:29.777Z,916,0,8,27,51089
youngking,2021-11-02T23:44:29.777Z,2664,0,8,27,51089
blandingp,2021-11-02T23:53:37.083Z,21,0,10,27,51089
mcauliffet,2021-11-02T23:53:37.083Z,1354,0,10,27,51089
youngking,2021-11-02T23:53:37.083Z,3479,0,10,27,51089
blandingp,2021-11-03T00:04:47.213Z,25,0,12,27,51089
mcauliffet,2021-11-03T00:04:47.213Z,1830,0,12,27,51089
youngking,2021-11-03T00:04:47.213Z,4394,0,12,27,51089
blandingp,2021-11-03T00:13:54.950Z,35,0,16,27,51089
mcauliffet,2021-11-03T00:13:54.950Z,2370,0,16,27,51089
youngking,2021-11-03T00:13:54.950Z,6167,0,16,27,51089
blandingp,2021-11-03T00:25:05.690Z,45,0,19,27,51089
mcauliffet,2021-11-03T00:25:05.690Z,2729,0,19,27,51089
youngking,2021-11-03T00:25:05.690Z,7332,0,19,27,51089
blandingp,2021-11-03T00:34:12.177Z,50,0,22,27,51089
mcauliffet,2021-11-03T00:34:12.177Z,3013,0,22,27,51089
youngking,2021-11-03T00:34:12.177Z,8814,0,22,27,51089
blandingp,2021-11-03T00:43:20.307Z,50,0,23,27,51089
mcauliffet,2021-11-03T00:43:20.307Z,3126,0,23,27,51089
youngking,2021-11-03T00:43:20.307Z,8991,0,23,27,51089
blandingp,2021-11-03T00:54:28.790Z,54,0,24,27,51089
mcauliffet,2021-11-03T00:54:28.790Z,3270,0,24,27,51089
youngking,2021-11-03T00:54:28.790Z,9915,0,24,27,51089
blandingp,2021-11-03T00:59:36.230Z,55,0,24,27,51089
mcauliffet,2021-11-03T00:59:36.230Z,3312,0,24,27,51089
youngking,2021-11-03T00:59:36.230Z,9959,0,24,27,51089
blandingp,2021-11-03T04:06:41.680Z,64,0,25,27,51089
mcauliffet,2021-11-03T04:06:41.680Z,3944,0,25,27,51089
youngking,2021-11-03T04:06:41.680Z,10308,0,25,27,51089
blandingp,2021-11-03T04:38:00.557Z,69,15,26,27,51089
mcauliffet,2021-11-03T04:38:00.557Z,4554,1284,26,27,51089
youngking,2021-11-03T04:38:00.557Z,11026,1111,26,27,51089
blandingp,2021-11-03T05:04:14.967Z,69,21,26,27,51089
mcauliffet,2021-11-03T05:04:14.967Z,4554,2265,26,27,51089
youngking,2021-11-03T05:04:14.967Z,11026,2997,26,27,51089
blandingp,2021-11-03T05:23:23.617Z,75,21,26,27,51089
mcauliffet,2021-11-03T05:23:23.617Z,5535,2265,26,27,51089
youngking,2021-11-03T05:23:23.617Z,12912,2997,26,27,51089
