CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,4,51678
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,4,51678
youngking,2021-11-01T12:58:11.037Z,0,0,0,4,51678
blandingp,2021-11-02T18:43:09.683Z,0,0,0,4,51678
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,4,51678
youngking,2021-11-02T18:43:09.683Z,0,0,0,4,51678
blandingp,2021-11-02T23:00:02.290Z,0,0,0,4,51678
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,4,51678
youngking,2021-11-02T23:00:02.290Z,0,0,0,4,51678
blandingp,2021-11-02T23:53:37.083Z,5,0,1,4,51678
mcauliffet,2021-11-02T23:53:37.083Z,495,0,1,4,51678
youngking,2021-11-02T23:53:37.083Z,474,0,1,4,51678
blandingp,2021-11-03T00:34:12.177Z,5,0,2,4,51678
mcauliffet,2021-11-03T00:34:12.177Z,1104,609,2,4,51678
youngking,2021-11-03T00:34:12.177Z,744,270,2,4,51678
blandingp,2021-11-03T00:43:20.307Z,10,5,3,4,51678
mcauliffet,2021-11-03T00:43:20.307Z,1276,781,3,4,51678
youngking,2021-11-03T00:43:20.307Z,773,299,3,4,51678
blandingp,2021-11-03T04:38:00.557Z,10,5,3,4,51678
mcauliffet,2021-11-03T04:38:00.557Z,1276,781,3,4,51678
youngking,2021-11-03T04:38:00.557Z,773,299,3,4,51678
