CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,12,51113
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,12,51113
youngking,2021-11-01T12:58:11.037Z,0,0,0,12,51113
blandingp,2021-11-02T18:43:09.683Z,0,0,0,12,51113
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,12,51113
youngking,2021-11-02T18:43:09.683Z,0,0,0,12,51113
blandingp,2021-11-02T23:00:02.290Z,0,0,0,12,51113
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,12,51113
youngking,2021-11-02T23:00:02.290Z,0,0,0,12,51113
blandingp,2021-11-03T00:00:43.330Z,3,0,1,12,51113
mcauliffet,2021-11-03T00:00:43.330Z,192,0,1,12,51113
youngking,2021-11-03T00:00:43.330Z,583,0,1,12,51113
blandingp,2021-11-03T00:10:52.177Z,13,0,3,12,51113
mcauliffet,2021-11-03T00:10:52.177Z,1011,0,3,12,51113
youngking,2021-11-03T00:10:52.177Z,1731,0,3,12,51113
blandingp,2021-11-03T00:26:06.467Z,15,10,4,12,51113
mcauliffet,2021-11-03T00:26:06.467Z,1142,819,4,12,51113
youngking,2021-11-03T00:26:06.467Z,2117,1148,4,12,51113
blandingp,2021-11-03T00:33:11.407Z,21,0,5,12,51113
mcauliffet,2021-11-03T00:33:11.407Z,1285,0,5,12,51113
youngking,2021-11-03T00:33:11.407Z,2858,0,5,12,51113
blandingp,2021-11-03T00:44:21.460Z,21,10,6,12,51113
mcauliffet,2021-11-03T00:44:21.460Z,1514,819,6,12,51113
youngking,2021-11-03T00:44:21.460Z,3448,1148,6,12,51113
blandingp,2021-11-03T00:47:23.493Z,21,0,7,12,51113
mcauliffet,2021-11-03T00:47:23.493Z,1529,0,7,12,51113
youngking,2021-11-03T00:47:23.493Z,3490,0,7,12,51113
blandingp,2021-11-03T00:56:30.213Z,22,10,8,12,51113
mcauliffet,2021-11-03T00:56:30.213Z,1602,819,8,12,51113
youngking,2021-11-03T00:56:30.213Z,3688,1148,8,12,51113
blandingp,2021-11-03T01:01:37.233Z,24,0,9,12,51113
mcauliffet,2021-11-03T01:01:37.233Z,1780,0,9,12,51113
youngking,2021-11-03T01:01:37.233Z,4058,0,9,12,51113
blandingp,2021-11-03T01:14:48.967Z,25,10,10,12,51113
mcauliffet,2021-11-03T01:14:48.967Z,1866,819,10,12,51113
youngking,2021-11-03T01:14:48.967Z,4374,1148,10,12,51113
blandingp,2021-11-03T01:22:54.650Z,29,0,11,12,51113
mcauliffet,2021-11-03T01:22:54.650Z,1962,0,11,12,51113
youngking,2021-11-03T01:22:54.650Z,4714,0,11,12,51113
blandingp,2021-11-03T04:38:00.557Z,29,0,11,12,51113
mcauliffet,2021-11-03T04:38:00.557Z,1962,0,11,12,51113
youngking,2021-11-03T04:38:00.557Z,4714,0,11,12,51113
