CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,9,51683
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,9,51683
youngking,2021-11-01T12:58:11.037Z,0,0,0,9,51683
blandingp,2021-11-02T18:43:09.683Z,0,0,0,9,51683
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,9,51683
youngking,2021-11-02T18:43:09.683Z,0,0,0,9,51683
blandingp,2021-11-02T23:00:02.290Z,0,0,0,9,51683
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,9,51683
youngking,2021-11-02T23:00:02.290Z,0,0,0,9,51683
blandingp,2021-11-02T23:25:16.190Z,34,34,2,9,51683
mcauliffet,2021-11-02T23:25:16.190Z,3036,3036,2,9,51683
youngking,2021-11-02T23:25:16.190Z,1841,1841,2,9,51683
blandingp,2021-11-02T23:33:21.983Z,61,35,6,9,51683
mcauliffet,2021-11-02T23:33:21.983Z,5150,3047,6,9,51683
youngking,2021-11-02T23:33:21.983Z,3987,1843,6,9,51683
blandingp,2021-11-02T23:44:29.777Z,85,35,8,9,51683
mcauliffet,2021-11-02T23:44:29.777Z,6164,3047,8,9,51683
youngking,2021-11-02T23:44:29.777Z,5033,1843,8,9,51683
blandingp,2021-11-03T04:38:00.557Z,85,35,8,9,51683
mcauliffet,2021-11-03T04:38:00.557Z,6164,3047,8,9,51683
youngking,2021-11-03T04:38:00.557Z,5033,1843,8,9,51683
