CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,51,51710
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,51,51710
youngking,2021-11-01T12:58:11.037Z,0,0,0,51,51710
blandingp,2021-11-02T18:43:09.683Z,0,0,0,51,51710
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,51,51710
youngking,2021-11-02T18:43:09.683Z,0,0,0,51,51710
blandingp,2021-11-02T23:00:02.290Z,0,0,0,51,51710
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,51,51710
youngking,2021-11-02T23:00:02.290Z,0,0,0,51,51710
blandingp,2021-11-02T23:29:19.143Z,49,0,3,51,51710
mcauliffet,2021-11-02T23:29:19.143Z,1949,0,3,51,51710
youngking,2021-11-02T23:29:19.143Z,1559,0,3,51,51710
blandingp,2021-11-02T23:45:30.590Z,123,0,11,51,51710
mcauliffet,2021-11-02T23:45:30.590Z,4526,0,11,51,51710
youngking,2021-11-02T23:45:30.590Z,2495,0,11,51,51710
blandingp,2021-11-03T00:05:48.360Z,223,0,21,51,51710
mcauliffet,2021-11-03T00:05:48.360Z,9004,0,21,51,51710
youngking,2021-11-03T00:05:48.360Z,5155,0,21,51,51710
blandingp,2021-11-03T00:32:10.557Z,363,0,33,51,51710
mcauliffet,2021-11-03T00:32:10.557Z,16072,0,33,51,51710
youngking,2021-11-03T00:32:10.557Z,10240,0,33,51,51710
blandingp,2021-11-03T00:50:25.910Z,417,0,38,51,51710
mcauliffet,2021-11-03T00:50:25.910Z,18218,0,38,51,51710
youngking,2021-11-03T00:50:25.910Z,10932,0,38,51,51710
blandingp,2021-11-03T01:45:10.043Z,518,0,45,51,51710
mcauliffet,2021-11-03T01:45:10.043Z,23012,0,45,51,51710
youngking,2021-11-03T01:45:10.043Z,13236,0,45,51,51710
blandingp,2021-11-03T02:18:33.330Z,551,0,47,51,51710
mcauliffet,2021-11-03T02:18:33.330Z,24012,0,47,51,51710
youngking,2021-11-03T02:18:33.330Z,14118,0,47,51,51710
blandingp,2021-11-03T02:45:51.460Z,604,116,44,51,51710
mcauliffet,2021-11-03T02:45:51.460Z,27291,6100,44,51,51710
youngking,2021-11-03T02:45:51.460Z,14352,1018,44,51,51710
blandingp,2021-11-03T02:52:54.780Z,677,0,51,51,51710
mcauliffet,2021-11-03T02:52:54.780Z,30818,0,51,51,51710
youngking,2021-11-03T02:52:54.780Z,15560,0,51,51,51710
blandingp,2021-11-03T03:04:04.330Z,677,0,50,51,51710
mcauliffet,2021-11-03T03:04:04.330Z,30818,0,50,51,51710
youngking,2021-11-03T03:04:04.330Z,15560,0,50,51,51710
blandingp,2021-11-03T04:38:00.557Z,677,0,50,51,51710
mcauliffet,2021-11-03T04:38:00.557Z,30818,0,50,51,51710
youngking,2021-11-03T04:38:00.557Z,15560,0,50,51,51710
blandingp,2021-11-03T05:23:23.617Z,767,206,50,51,51710
mcauliffet,2021-11-03T05:23:23.617Z,39915,15197,50,51,51710
youngking,2021-11-03T05:23:23.617Z,18809,4267,50,51,51710
