CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,8,51139
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,8,51139
youngking,2021-11-01T12:58:11.037Z,0,0,0,8,51139
blandingp,2021-11-02T18:43:09.683Z,0,0,0,8,51139
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,8,51139
youngking,2021-11-02T18:43:09.683Z,0,0,0,8,51139
blandingp,2021-11-02T23:00:02.290Z,0,0,0,8,51139
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,8,51139
youngking,2021-11-02T23:00:02.290Z,0,0,0,8,51139
blandingp,2021-11-02T23:51:35.403Z,5,0,1,8,51139
mcauliffet,2021-11-02T23:51:35.403Z,231,0,1,8,51139
youngking,2021-11-02T23:51:35.403Z,1097,0,1,8,51139
blandingp,2021-11-03T00:26:06.467Z,9,0,3,8,51139
mcauliffet,2021-11-03T00:26:06.467Z,600,0,3,8,51139
youngking,2021-11-03T00:26:06.467Z,3529,0,3,8,51139
blandingp,2021-11-03T00:35:12.890Z,16,0,5,8,51139
mcauliffet,2021-11-03T00:35:12.890Z,872,0,5,8,51139
youngking,2021-11-03T00:35:12.890Z,6110,0,5,8,51139
blandingp,2021-11-03T01:44:09.337Z,28,12,7,8,51139
mcauliffet,2021-11-03T01:44:09.337Z,1990,1118,7,8,51139
youngking,2021-11-03T01:44:09.337Z,7585,1475,7,8,51139
blandingp,2021-11-03T04:38:00.557Z,28,12,7,8,51139
mcauliffet,2021-11-03T04:38:00.557Z,1990,1118,7,8,51139
youngking,2021-11-03T04:38:00.557Z,7585,1475,7,8,51139
