CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,16,51141
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,16,51141
youngking,2021-11-01T12:58:11.037Z,0,0,0,16,51141
blandingp,2021-11-02T18:43:09.683Z,0,0,0,16,51141
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,16,51141
youngking,2021-11-02T18:43:09.683Z,0,0,0,16,51141
blandingp,2021-11-02T23:00:02.290Z,0,0,0,16,51141
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,16,51141
youngking,2021-11-02T23:00:02.290Z,0,0,0,16,51141
blandingp,2021-11-02T23:46:31.907Z,2,0,1,16,51141
mcauliffet,2021-11-02T23:46:31.907Z,59,0,1,16,51141
youngking,2021-11-02T23:46:31.907Z,321,0,1,16,51141
blandingp,2021-11-02T23:53:37.083Z,19,0,9,16,51141
mcauliffet,2021-11-02T23:53:37.083Z,573,0,9,16,51141
youngking,2021-11-02T23:53:37.083Z,3403,0,9,16,51141
blandingp,2021-11-03T00:04:47.213Z,25,0,12,16,51141
mcauliffet,2021-11-03T00:04:47.213Z,719,0,12,16,51141
youngking,2021-11-03T00:04:47.213Z,4405,0,12,16,51141
blandingp,2021-11-03T00:13:54.950Z,25,0,13,16,51141
mcauliffet,2021-11-03T00:13:54.950Z,766,0,13,16,51141
youngking,2021-11-03T00:13:54.950Z,4721,0,13,16,51141
blandingp,2021-11-03T00:54:28.790Z,32,7,15,16,51141
mcauliffet,2021-11-03T00:54:28.790Z,1247,481,15,16,51141
youngking,2021-11-03T00:54:28.790Z,5942,1221,15,16,51141
blandingp,2021-11-03T04:38:00.557Z,32,7,15,16,51141
mcauliffet,2021-11-03T04:38:00.557Z,1247,481,15,16,51141
youngking,2021-11-03T04:38:00.557Z,5942,1221,15,16,51141
