CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,20,51169
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,20,51169
youngking,2021-11-01T12:58:11.037Z,0,0,0,20,51169
blandingp,2021-11-02T18:43:09.683Z,0,0,0,20,51169
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,20,51169
youngking,2021-11-02T18:43:09.683Z,0,0,0,20,51169
blandingp,2021-11-02T23:00:02.290Z,0,0,0,20,51169
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,20,51169
youngking,2021-11-02T23:00:02.290Z,0,0,0,20,51169
blandingp,2021-11-02T23:13:07.517Z,0,0,1,20,51169
mcauliffet,2021-11-02T23:13:07.517Z,76,0,1,20,51169
youngking,2021-11-02T23:13:07.517Z,517,0,1,20,51169
blandingp,2021-11-02T23:36:24.123Z,4,0,5,20,51169
mcauliffet,2021-11-02T23:36:24.123Z,207,0,5,20,51169
youngking,2021-11-02T23:36:24.123Z,1845,0,5,20,51169
blandingp,2021-11-02T23:44:29.777Z,11,0,15,20,51169
mcauliffet,2021-11-02T23:44:29.777Z,480,0,15,20,51169
youngking,2021-11-02T23:44:29.777Z,4329,0,15,20,51169
blandingp,2021-11-03T00:01:44.540Z,19,0,17,20,51169
mcauliffet,2021-11-03T00:01:44.540Z,656,0,17,20,51169
youngking,2021-11-03T00:01:44.540Z,5461,0,17,20,51169
blandingp,2021-11-03T00:35:12.890Z,16,5,16,20,51169
mcauliffet,2021-11-03T00:35:12.890Z,735,255,16,20,51169
youngking,2021-11-03T00:35:12.890Z,5758,1429,16,20,51169
blandingp,2021-11-03T00:52:27.400Z,24,0,18,20,51169
mcauliffet,2021-11-03T00:52:27.400Z,911,0,18,20,51169
youngking,2021-11-03T00:52:27.400Z,6890,0,18,20,51169
blandingp,2021-11-03T01:40:05.557Z,28,0,19,20,51169
mcauliffet,2021-11-03T01:40:05.557Z,1030,0,19,20,51169
youngking,2021-11-03T01:40:05.557Z,7068,0,19,20,51169
blandingp,2021-11-03T04:38:00.557Z,28,0,19,20,51169
mcauliffet,2021-11-03T04:38:00.557Z,1030,0,19,20,51169
youngking,2021-11-03T04:38:00.557Z,7068,0,19,20,51169
