CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,17,51173
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,17,51173
youngking,2021-11-01T12:58:11.037Z,0,0,0,17,51173
blandingp,2021-11-02T18:43:09.683Z,0,0,0,17,51173
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,17,51173
youngking,2021-11-02T18:43:09.683Z,0,0,0,17,51173
blandingp,2021-11-02T23:00:02.290Z,0,0,0,17,51173
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,17,51173
youngking,2021-11-02T23:00:02.290Z,0,0,0,17,51173
blandingp,2021-11-02T23:25:16.190Z,4,0,2,17,51173
mcauliffet,2021-11-02T23:25:16.190Z,165,0,2,17,51173
youngking,2021-11-02T23:25:16.190Z,1049,0,2,17,51173
blandingp,2021-11-02T23:33:21.983Z,8,0,4,17,51173
mcauliffet,2021-11-02T23:33:21.983Z,376,0,4,17,51173
youngking,2021-11-02T23:33:21.983Z,2260,0,4,17,51173
blandingp,2021-11-02T23:44:29.777Z,14,0,7,17,51173
mcauliffet,2021-11-02T23:44:29.777Z,600,0,7,17,51173
youngking,2021-11-02T23:44:29.777Z,3520,0,7,17,51173
blandingp,2021-11-02T23:53:37.083Z,17,0,9,17,51173
mcauliffet,2021-11-02T23:53:37.083Z,749,0,9,17,51173
youngking,2021-11-02T23:53:37.083Z,4763,0,9,17,51173
blandingp,2021-11-03T00:04:47.213Z,22,0,11,17,51173
mcauliffet,2021-11-03T00:04:47.213Z,932,0,11,17,51173
youngking,2021-11-03T00:04:47.213Z,5614,0,11,17,51173
blandingp,2021-11-03T00:13:54.950Z,29,4,14,17,51173
mcauliffet,2021-11-03T00:13:54.950Z,1526,512,14,17,51173
youngking,2021-11-03T00:13:54.950Z,7335,962,14,17,51173
blandingp,2021-11-03T00:34:12.177Z,41,4,16,17,51173
mcauliffet,2021-11-03T00:34:12.177Z,1735,512,16,17,51173
youngking,2021-11-03T00:34:12.177Z,8461,962,16,17,51173
blandingp,2021-11-03T04:38:00.557Z,41,4,16,17,51173
mcauliffet,2021-11-03T04:38:00.557Z,1735,512,16,17,51173
youngking,2021-11-03T04:38:00.557Z,8461,962,16,17,51173
