CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,29,51177
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,29,51177
youngking,2021-11-01T12:58:11.037Z,0,0,0,29,51177
blandingp,2021-11-02T18:43:09.683Z,0,0,0,29,51177
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,29,51177
youngking,2021-11-02T18:43:09.683Z,0,0,0,29,51177
blandingp,2021-11-02T23:00:02.290Z,0,0,0,29,51177
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,29,51177
youngking,2021-11-02T23:00:02.290Z,0,0,0,29,51177
blandingp,2021-11-02T23:32:21.170Z,24,0,5,29,51177
mcauliffet,2021-11-02T23:32:21.170Z,1998,0,5,29,51177
youngking,2021-11-02T23:32:21.170Z,4967,0,5,29,51177
blandingp,2021-11-02T23:55:38.513Z,32,0,6,29,51177
mcauliffet,2021-11-02T23:55:38.513Z,2155,0,6,29,51177
youngking,2021-11-02T23:55:38.513Z,5700,0,6,29,51177
blandingp,2021-11-03T00:04:47.213Z,66,0,11,29,51177
mcauliffet,2021-11-03T00:04:47.213Z,4213,0,11,29,51177
youngking,2021-11-03T00:04:47.213Z,10779,0,11,29,51177
blandingp,2021-11-03T00:07:49.707Z,165,0,20,29,51177
mcauliffet,2021-11-03T00:07:49.707Z,8728,0,20,29,51177
youngking,2021-11-03T00:07:49.707Z,17406,0,20,29,51177
blandingp,2021-11-03T00:34:12.177Z,185,0,25,29,51177
mcauliffet,2021-11-03T00:34:12.177Z,12042,0,25,29,51177
youngking,2021-11-03T00:34:12.177Z,21617,0,25,29,51177
blandingp,2021-11-03T01:45:10.043Z,323,0,28,29,51177
mcauliffet,2021-11-03T01:45:10.043Z,21174,0,28,29,51177
youngking,2021-11-03T01:45:10.043Z,32422,0,28,29,51177
blandingp,2021-11-03T01:49:12.780Z,323,111,28,29,51177
mcauliffet,2021-11-03T01:49:12.780Z,21174,9410,28,29,51177
youngking,2021-11-03T01:49:12.780Z,32422,9808,28,29,51177
blandingp,2021-11-03T02:22:36.500Z,305,0,29,29,51177
mcauliffet,2021-11-03T02:22:36.500Z,22164,0,29,29,51177
youngking,2021-11-03T02:22:36.500Z,32422,0,29,29,51177
blandingp,2021-11-03T02:43:50.083Z,323,0,28,29,51177
mcauliffet,2021-11-03T02:43:50.083Z,21174,0,28,29,51177
youngking,2021-11-03T02:43:50.083Z,32422,0,28,29,51177
blandingp,2021-11-03T04:38:00.557Z,323,0,28,29,51177
mcauliffet,2021-11-03T04:38:00.557Z,21174,0,28,29,51177
youngking,2021-11-03T04:38:00.557Z,32422,0,28,29,51177
