CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,8,51790
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,8,51790
youngking,2021-11-01T12:58:11.037Z,0,0,0,8,51790
blandingp,2021-11-02T18:43:09.683Z,0,0,0,8,51790
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,8,51790
youngking,2021-11-02T18:43:09.683Z,0,0,0,8,51790
blandingp,2021-11-02T23:00:02.290Z,0,0,0,8,51790
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,8,51790
youngking,2021-11-02T23:00:02.290Z,0,0,0,8,51790
blandingp,2021-11-02T23:51:35.403Z,72,0,5,8,51790
mcauliffet,2021-11-02T23:51:35.403Z,2304,0,5,8,51790
youngking,2021-11-02T23:51:35.403Z,3092,0,5,8,51790
blandingp,2021-11-03T00:39:16.920Z,114,0,8,8,51790
mcauliffet,2021-11-03T00:39:16.920Z,4951,0,8,8,51790
youngking,2021-11-03T00:39:16.920Z,4613,0,8,8,51790
blandingp,2021-11-03T01:11:46.013Z,114,0,7,8,51790
mcauliffet,2021-11-03T01:11:46.013Z,4951,0,7,8,51790
youngking,2021-11-03T01:11:46.013Z,4613,0,7,8,51790
blandingp,2021-11-03T04:38:00.557Z,114,0,7,8,51790
mcauliffet,2021-11-03T04:38:00.557Z,4951,0,7,8,51790
youngking,2021-11-03T04:38:00.557Z,4613,0,7,8,51790
