CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,9,51181
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,9,51181
youngking,2021-11-01T12:58:11.037Z,0,0,0,9,51181
blandingp,2021-11-02T18:43:09.683Z,0,0,0,9,51181
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,9,51181
youngking,2021-11-02T18:43:09.683Z,0,0,0,9,51181
blandingp,2021-11-02T23:00:02.290Z,0,0,0,9,51181
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,9,51181
youngking,2021-11-02T23:00:02.290Z,0,0,0,9,51181
blandingp,2021-11-02T23:44:29.777Z,3,0,3,9,51181
mcauliffet,2021-11-02T23:44:29.777Z,433,0,3,9,51181
youngking,2021-11-02T23:44:29.777Z,560,0,3,9,51181
blandingp,2021-11-02T23:53:37.083Z,4,0,6,9,51181
mcauliffet,2021-11-02T23:53:37.083Z,1012,230,6,9,51181
youngking,2021-11-02T23:53:37.083Z,1084,60,6,9,51181
blandingp,2021-11-03T00:04:47.213Z,4,0,7,9,51181
mcauliffet,2021-11-03T00:04:47.213Z,1565,783,7,9,51181
youngking,2021-11-03T00:04:47.213Z,1502,478,7,9,51181
blandingp,2021-11-03T00:34:12.177Z,8,0,8,9,51181
mcauliffet,2021-11-03T00:34:12.177Z,1746,783,8,9,51181
youngking,2021-11-03T00:34:12.177Z,1774,478,8,9,51181
blandingp,2021-11-03T04:38:00.557Z,8,0,8,9,51181
mcauliffet,2021-11-03T04:38:00.557Z,1746,783,8,9,51181
youngking,2021-11-03T04:38:00.557Z,1774,478,8,9,51181
