CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,103,51810
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,103,51810
youngking,2021-11-01T12:58:11.037Z,0,0,0,103,51810
blandingp,2021-11-02T18:43:09.683Z,0,0,0,103,51810
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,103,51810
youngking,2021-11-02T18:43:09.683Z,0,0,0,103,51810
blandingp,2021-11-02T23:00:02.290Z,0,0,0,103,51810
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,103,51810
youngking,2021-11-02T23:00:02.290Z,0,0,0,103,51810
blandingp,2021-11-02T23:33:21.983Z,109,0,12,103,51810
mcauliffet,2021-11-02T23:33:21.983Z,4539,0,12,103,51810
youngking,2021-11-02T23:33:21.983Z,6748,0,12,103,51810
blandingp,2021-11-02T23:44:29.777Z,208,0,27,103,51810
mcauliffet,2021-11-02T23:44:29.777Z,10353,0,27,103,51810
youngking,2021-11-02T23:44:29.777Z,17336,0,27,103,51810
blandingp,2021-11-02T23:53:37.083Z,244,0,33,103,51810
mcauliffet,2021-11-02T23:53:37.083Z,12908,0,33,103,51810
youngking,2021-11-02T23:53:37.083Z,21015,0,33,103,51810
blandingp,2021-11-02T23:54:37.840Z,441,0,37,103,51810
mcauliffet,2021-11-02T23:54:37.840Z,22357,0,37,103,51810
youngking,2021-11-02T23:54:37.840Z,33040,0,37,103,51810
blandingp,2021-11-02T23:55:38.513Z,450,0,39,103,51810
mcauliffet,2021-11-02T23:55:38.513Z,22997,0,39,103,51810
youngking,2021-11-02T23:55:38.513Z,34114,0,39,103,51810
blandingp,2021-11-02T23:56:39.610Z,474,0,40,103,51810
mcauliffet,2021-11-02T23:56:39.610Z,24165,0,40,103,51810
youngking,2021-11-02T23:56:39.610Z,34736,0,40,103,51810
blandingp,2021-11-02T23:57:40.297Z,495,0,41,103,51810
mcauliffet,2021-11-02T23:57:40.297Z,25011,0,41,103,51810
youngking,2021-11-02T23:57:40.297Z,35638,0,41,103,51810
blandingp,2021-11-02T23:58:41.420Z,497,0,42,103,51810
mcauliffet,2021-11-02T23:58:41.420Z,25381,0,42,103,51810
youngking,2021-11-02T23:58:41.420Z,36374,0,42,103,51810
blandingp,2021-11-03T00:01:44.540Z,507,0,42,103,51810
mcauliffet,2021-11-03T00:01:44.540Z,25691,0,42,103,51810
youngking,2021-11-03T00:01:44.540Z,36941,0,42,103,51810
blandingp,2021-11-03T00:02:45.207Z,520,0,44,103,51810
mcauliffet,2021-11-03T00:02:45.207Z,26391,0,44,103,51810
youngking,2021-11-03T00:02:45.207Z,38204,0,44,103,51810
blandingp,2021-11-03T00:03:45.903Z,536,0,45,103,51810
mcauliffet,2021-11-03T00:03:45.903Z,27305,0,45,103,51810
youngking,2021-11-03T00:03:45.903Z,38602,0,45,103,51810
blandingp,2021-11-03T00:09:51.490Z,543,0,45,103,51810
mcauliffet,2021-11-03T00:09:51.490Z,27798,0,45,103,51810
youngking,2021-11-03T00:09:51.490Z,39412,0,45,103,51810
blandingp,2021-11-03T00:10:52.177Z,552,0,47,103,51810
mcauliffet,2021-11-03T00:10:52.177Z,28627,0,47,103,51810
youngking,2021-11-03T00:10:52.177Z,41165,0,47,103,51810
blandingp,2021-11-03T00:12:53.707Z,563,0,48,103,51810
mcauliffet,2021-11-03T00:12:53.707Z,29236,0,48,103,51810
youngking,2021-11-03T00:12:53.707Z,41578,0,48,103,51810
blandingp,2021-11-03T00:13:54.950Z,585,0,49,103,51810
mcauliffet,2021-11-03T00:13:54.950Z,30105,0,49,103,51810
youngking,2021-11-03T00:13:54.950Z,42705,0,49,103,51810
blandingp,2021-11-03T00:17:59.097Z,591,0,50,103,51810
mcauliffet,2021-11-03T00:17:59.097Z,30508,0,50,103,51810
youngking,2021-11-03T00:17:59.097Z,43630,0,50,103,51810
blandingp,2021-11-03T00:28:07.840Z,607,0,51,103,51810
mcauliffet,2021-11-03T00:28:07.840Z,31076,0,51,103,51810
youngking,2021-11-03T00:28:07.840Z,44348,0,51,103,51810
blandingp,2021-11-03T00:30:09.207Z,619,0,52,103,51810
mcauliffet,2021-11-03T00:30:09.207Z,31568,0,52,103,51810
youngking,2021-11-03T00:30:09.207Z,45102,0,52,103,51810
blandingp,2021-11-03T00:34:12.177Z,627,0,52,103,51810
mcauliffet,2021-11-03T00:34:12.177Z,31939,0,52,103,51810
youngking,2021-11-03T00:34:12.177Z,45390,0,52,103,51810
blandingp,2021-11-03T00:37:14.700Z,644,0,53,103,51810
mcauliffet,2021-11-03T00:37:14.700Z,32427,0,53,103,51810
youngking,2021-11-03T00:37:14.700Z,46106,0,53,103,51810
blandingp,2021-11-03T00:42:19.340Z,657,0,54,103,51810
mcauliffet,2021-11-03T00:42:19.340Z,33203,0,54,103,51810
youngking,2021-11-03T00:42:19.340Z,46935,0,54,103,51810
blandingp,2021-11-03T00:44:21.460Z,659,0,55,103,51810
mcauliffet,2021-11-03T00:44:21.460Z,33346,0,55,103,51810
youngking,2021-11-03T00:44:21.460Z,47659,0,55,103,51810
blandingp,2021-11-03T00:47:23.493Z,673,0,56,103,51810
mcauliffet,2021-11-03T00:47:23.493Z,33829,0,56,103,51810
youngking,2021-11-03T00:47:23.493Z,48451,0,56,103,51810
blandingp,2021-11-03T00:48:24.170Z,678,0,57,103,51810
mcauliffet,2021-11-03T00:48:24.170Z,34487,0,57,103,51810
youngking,2021-11-03T00:48:24.170Z,49281,0,57,103,51810
blandingp,2021-11-03T00:50:25.910Z,680,0,57,103,51810
mcauliffet,2021-11-03T00:50:25.910Z,34767,0,57,103,51810
youngking,2021-11-03T00:50:25.910Z,50121,0,57,103,51810
blandingp,2021-11-03T00:55:29.530Z,682,0,82,103,51810
mcauliffet,2021-11-03T00:55:29.530Z,35107,0,82,103,51810
youngking,2021-11-03T00:55:29.530Z,50371,0,82,103,51810
blandingp,2021-11-03T00:59:36.230Z,691,0,58,103,51810
mcauliffet,2021-11-03T00:59:36.230Z,35209,0,58,103,51810
youngking,2021-11-03T00:59:36.230Z,50645,0,58,103,51810
blandingp,2021-11-03T01:01:37.233Z,692,0,59,103,51810
mcauliffet,2021-11-03T01:01:37.233Z,35356,0,59,103,51810
youngking,2021-11-03T01:01:37.233Z,51408,0,59,103,51810
blandingp,2021-11-03T01:03:39.063Z,704,0,59,103,51810
mcauliffet,2021-11-03T01:03:39.063Z,35715,0,59,103,51810
youngking,2021-11-03T01:03:39.063Z,52012,0,59,103,51810
blandingp,2021-11-03T01:05:41.327Z,707,0,85,103,51810
mcauliffet,2021-11-03T01:05:41.327Z,36188,0,85,103,51810
youngking,2021-11-03T01:05:41.327Z,52339,0,85,103,51810
blandingp,2021-11-03T01:14:48.967Z,716,0,87,103,51810
mcauliffet,2021-11-03T01:14:48.967Z,37064,0,87,103,51810
youngking,2021-11-03T01:14:48.967Z,54055,0,87,103,51810
blandingp,2021-11-03T01:23:55.377Z,723,0,88,103,51810
mcauliffet,2021-11-03T01:23:55.377Z,37592,0,88,103,51810
youngking,2021-11-03T01:23:55.377Z,54445,0,88,103,51810
blandingp,2021-11-03T01:44:09.337Z,732,0,90,103,51810
mcauliffet,2021-11-03T01:44:09.337Z,38304,0,90,103,51810
youngking,2021-11-03T01:44:09.337Z,55428,0,90,103,51810
blandingp,2021-11-03T01:47:11.427Z,750,0,64,103,51810
mcauliffet,2021-11-03T01:47:11.427Z,38820,0,64,103,51810
youngking,2021-11-03T01:47:11.427Z,56574,0,64,103,51810
blandingp,2021-11-03T01:50:13.493Z,762,0,65,103,51810
mcauliffet,2021-11-03T01:50:13.493Z,39378,0,65,103,51810
youngking,2021-11-03T01:50:13.493Z,57148,0,65,103,51810
blandingp,2021-11-03T01:52:14.860Z,774,0,66,103,51810
mcauliffet,2021-11-03T01:52:14.860Z,39814,0,66,103,51810
youngking,2021-11-03T01:52:14.860Z,57717,0,66,103,51810
blandingp,2021-11-03T01:54:17.073Z,781,0,67,103,51810
mcauliffet,2021-11-03T01:54:17.073Z,40342,0,67,103,51810
youngking,2021-11-03T01:54:17.073Z,58107,0,67,103,51810
blandingp,2021-11-03T02:00:21.480Z,789,0,67,103,51810
mcauliffet,2021-11-03T02:00:21.480Z,40815,0,67,103,51810
youngking,2021-11-03T02:00:21.480Z,58914,0,67,103,51810
blandingp,2021-11-03T02:12:28.993Z,798,0,68,103,51810
mcauliffet,2021-11-03T02:12:28.993Z,41274,0,68,103,51810
youngking,2021-11-03T02:12:28.993Z,59245,0,68,103,51810
blandingp,2021-11-03T02:13:29.730Z,806,0,69,103,51810
mcauliffet,2021-11-03T02:13:29.730Z,41728,0,69,103,51810
youngking,2021-11-03T02:13:29.730Z,59978,0,69,103,51810
blandingp,2021-11-03T02:40:47.870Z,992,0,103,103,51810
mcauliffet,2021-11-03T02:40:47.870Z,67836,0,103,103,51810
youngking,2021-11-03T02:40:47.870Z,90048,0,103,103,51810
blandingp,2021-11-03T02:52:54.780Z,1183,0,103,103,51810
mcauliffet,2021-11-03T02:52:54.780Z,80186,0,103,103,51810
youngking,2021-11-03T02:52:54.780Z,95248,0,103,103,51810
blandingp,2021-11-03T02:58:59.620Z,1187,377,103,103,51810
mcauliffet,2021-11-03T02:58:59.620Z,80681,38458,103,103,51810
youngking,2021-11-03T02:58:59.620Z,96332,35270,103,103,51810
blandingp,2021-11-03T03:01:00.987Z,1187,377,102,103,51810
mcauliffet,2021-11-03T03:01:00.987Z,80681,38458,102,103,51810
youngking,2021-11-03T03:01:00.987Z,96332,35270,102,103,51810
blandingp,2021-11-03T03:02:02.397Z,1190,377,103,103,51810
mcauliffet,2021-11-03T03:02:02.397Z,81154,38458,103,103,51810
youngking,2021-11-03T03:02:02.397Z,96659,35270,103,103,51810
blandingp,2021-11-03T03:13:11.080Z,1190,377,102,103,51810
mcauliffet,2021-11-03T03:13:11.080Z,81154,38458,102,103,51810
youngking,2021-11-03T03:13:11.080Z,96659,35270,102,103,51810
blandingp,2021-11-03T03:23:16.317Z,1208,0,102,103,51810
mcauliffet,2021-11-03T03:23:16.317Z,81875,0,102,103,51810
youngking,2021-11-03T03:23:16.317Z,96826,0,102,103,51810
blandingp,2021-11-03T04:38:00.557Z,1208,0,102,103,51810
mcauliffet,2021-11-03T04:38:00.557Z,81875,0,102,103,51810
youngking,2021-11-03T04:38:00.557Z,96826,0,102,103,51810
