CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,22,51191
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,22,51191
youngking,2021-11-01T12:58:11.037Z,0,0,0,22,51191
blandingp,2021-11-02T18:43:09.683Z,0,0,0,22,51191
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,22,51191
youngking,2021-11-02T18:43:09.683Z,0,0,0,22,51191
blandingp,2021-11-02T23:00:02.290Z,0,0,0,22,51191
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,22,51191
youngking,2021-11-02T23:00:02.290Z,0,0,0,22,51191
blandingp,2021-11-02T23:27:17.730Z,19,0,7,22,51191
mcauliffet,2021-11-02T23:27:17.730Z,841,0,7,22,51191
youngking,2021-11-02T23:27:17.730Z,4964,0,7,22,51191
blandingp,2021-11-02T23:54:37.840Z,37,0,13,22,51191
mcauliffet,2021-11-02T23:54:37.840Z,1704,0,13,22,51191
youngking,2021-11-02T23:54:37.840Z,9213,0,13,22,51191
blandingp,2021-11-03T00:04:47.213Z,47,10,14,22,51191
mcauliffet,2021-11-03T00:04:47.213Z,2526,822,14,22,51191
youngking,2021-11-03T00:04:47.213Z,9792,579,14,22,51191
blandingp,2021-11-03T00:07:49.707Z,78,0,20,22,51191
mcauliffet,2021-11-03T00:07:49.707Z,4474,0,20,22,51191
youngking,2021-11-03T00:07:49.707Z,17370,0,20,22,51191
blandingp,2021-11-03T04:38:00.557Z,78,0,20,22,51191
mcauliffet,2021-11-03T04:38:00.557Z,4474,0,20,22,51191
youngking,2021-11-03T04:38:00.557Z,17370,0,20,22,51191
blandingp,2021-11-03T04:59:12.660Z,78,29,21,22,51191
mcauliffet,2021-11-03T04:59:12.660Z,4474,2263,21,22,51191
youngking,2021-11-03T04:59:12.660Z,17370,4305,21,22,51191
