CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
blandingp,2021-11-01T12:58:11.037Z,0,0,0,5,51830
mcauliffet,2021-11-01T12:58:11.037Z,0,0,0,5,51830
youngking,2021-11-01T12:58:11.037Z,0,0,0,5,51830
blandingp,2021-11-02T18:43:09.683Z,0,0,0,5,51830
mcauliffet,2021-11-02T18:43:09.683Z,0,0,0,5,51830
youngking,2021-11-02T18:43:09.683Z,0,0,0,5,51830
blandingp,2021-11-02T23:00:02.290Z,0,0,0,5,51830
mcauliffet,2021-11-02T23:00:02.290Z,0,0,0,5,51830
youngking,2021-11-02T23:00:02.290Z,0,0,0,5,51830
blandingp,2021-11-02T23:30:19.793Z,11,0,1,5,51830
mcauliffet,2021-11-02T23:30:19.793Z,577,0,1,5,51830
youngking,2021-11-02T23:30:19.793Z,321,0,1,5,51830
blandingp,2021-11-03T00:25:05.690Z,28,18,3,5,51830
mcauliffet,2021-11-03T00:25:05.690Z,2583,1871,3,5,51830
youngking,2021-11-03T00:25:05.690Z,1374,885,3,5,51830
blandingp,2021-11-03T00:34:12.177Z,39,18,4,5,51830
mcauliffet,2021-11-03T00:34:12.177Z,3160,1871,4,5,51830
youngking,2021-11-03T00:34:12.177Z,1695,885,4,5,51830
blandingp,2021-11-03T04:38:00.557Z,39,18,4,5,51830
mcauliffet,2021-11-03T04:38:00.557Z,3160,1871,4,5,51830
youngking,2021-11-03T04:38:00.557Z,1695,885,4,5,51830
