CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
bagby-49427,2021-11-01T12:58:11.037Z,0,0,0
brooks-49729,2021-11-01T12:58:11.037Z,0,0,0
bagby-49427,2021-11-02T18:43:09.683Z,0,0,0
brooks-49729,2021-11-02T18:43:09.683Z,0,0,0
bagby-49427,2021-11-02T23:00:02.290Z,0,0,0
brooks-49729,2021-11-02T23:00:02.290Z,0,0,0
bagby-49427,2021-11-02T23:27:17.730Z,3226,0,0
brooks-49729,2021-11-02T23:27:17.730Z,1595,0,0
bagby-49427,2021-11-02T23:35:23.430Z,5943,0,0
brooks-49729,2021-11-02T23:35:23.430Z,3224,0,0
bagby-49427,2021-11-02T23:45:30.590Z,8825,0,0
brooks-49729,2021-11-02T23:45:30.590Z,4832,0,0
bagby-49427,2021-11-02T23:55:38.513Z,13275,0,0
brooks-49729,2021-11-02T23:55:38.513Z,5803,0,0
bagby-49427,2021-11-03T00:05:48.360Z,14196,0,0
brooks-49729,2021-11-03T00:05:48.360Z,6549,0,0
bagby-49427,2021-11-03T00:55:29.530Z,14196,0,0
brooks-49729,2021-11-03T00:55:29.530Z,6549,0,0
bagby-49427,2021-11-03T01:44:09.337Z,14200,0,0
brooks-49729,2021-11-03T01:44:09.337Z,6551,0,0
bagby-49427,2021-11-03T01:54:17.073Z,14206,0,0
brooks-49729,2021-11-03T01:54:17.073Z,6551,0,0
bagby-49427,2021-11-03T02:08:26.177Z,22481,8275,0
brooks-49729,2021-11-03T02:08:26.177Z,8449,1898,0
bagby-49427,2021-11-03T02:14:30.530Z,22484,8278,0
brooks-49729,2021-11-03T02:14:30.530Z,8449,1898,0
bagby-49427,2021-11-03T02:23:37.223Z,22499,8293,0
brooks-49729,2021-11-03T02:23:37.223Z,8463,1912,0
bagby-49427,2021-11-03T02:30:42.050Z,22499,8293,0
brooks-49729,2021-11-03T02:30:42.050Z,8463,1912,0
bagby-49427,2021-11-03T02:34:45.327Z,22499,8293,0
brooks-49729,2021-11-03T02:34:45.327Z,8463,1912,0
