CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,13,51023
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,13,51023
herringm,2021-11-02T18:43:09.683Z,0,0,0,13,51023
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,13,51023
herringm,2021-11-02T23:00:02.290Z,0,0,0,13,51023
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,13,51023
herringm,2021-11-02T23:46:31.907Z,549,0,3,13,51023
miyaresj,2021-11-02T23:46:31.907Z,2761,0,3,13,51023
herringm,2021-11-02T23:53:37.083Z,705,0,4,13,51023
miyaresj,2021-11-02T23:53:37.083Z,3420,0,4,13,51023
herringm,2021-11-03T00:04:47.213Z,3421,1975,9,13,51023
miyaresj,2021-11-03T00:04:47.213Z,10076,3610,9,13,51023
herringm,2021-11-03T00:13:54.950Z,3913,1975,11,13,51023
miyaresj,2021-11-03T00:13:54.950Z,12017,3610,11,13,51023
herringm,2021-11-03T00:41:18.277Z,3913,0,12,13,51023
miyaresj,2021-11-03T00:41:18.277Z,12017,0,12,13,51023
herringm,2021-11-03T00:56:30.213Z,4076,1975,12,13,51023
miyaresj,2021-11-03T00:56:30.213Z,12941,3610,12,13,51023
